"Region","Region_crops","Element","Y2009","Y2010","Y2011"
"Central America","Europe","Protein supply quantity (g/capita/day)",0.275957833836514,0.29616060194586,0.293255528255528
"Central America","Latin America","Fat supply quantity (g/capita/day)",21.4193802660334,21.5010563950519,22.4395153562653
"Central America","Latin America","Food supply (kcal/capita/day)",1129.96598158231,1135.43343340849,1121.91985872236
"Central America","Latin America","Food supply quantity (g/capita/day)",423.787969126991,422.270557970924,411.143562653563
"Central America","Latin America","Protein supply quantity (g/capita/day)",30.3236050932885,30.4759209198609,29.401984029484
"Central America","North America","Fat supply quantity (g/capita/day)",0.533884516756566,0.537655251454412,0.641315724815725
"Central America","North America","Food supply (kcal/capita/day)",6.96423834367065,6.35307637686395,8.1186117936118
"Central America","North America","Food supply quantity (g/capita/day)",5.5420335257633,4.86162844293847,5.62046683046683
"Central America","North America","Protein supply quantity (g/capita/day)",0,0.00290882363933078,0.00291031941031941
"Central America","Pacific","Fat supply quantity (g/capita/day)",1.98983552922451,2.00108691589949,1.53086117936118
"Central America","Pacific","Food supply (kcal/capita/day)",21.871429834645,21.8948151931533,18.2315663390663
"Central America","Pacific","Food supply quantity (g/capita/day)",8.25278223412453,8.22376141417413,7.57347051597051
"Central America","Pacific","Protein supply quantity (g/capita/day)",0.0574624508924625,0.0529025948949211,0.0532972972972973
"Central America","South Asia","Fat supply quantity (g/capita/day)",2.76101208898096,2.873963225493,2.61038882063882
"Central America","South Asia","Food supply (kcal/capita/day)",611.306418402536,563.152797329115,553.742972972972
"Central America","South Asia","Food supply quantity (g/capita/day)",231.63723582987,211.81486302991,213.496363636364
"Central America","South Asia","Protein supply quantity (g/capita/day)",3.87781349873046,3.82167540767132,3.91078439803439
"Central America","Southeast Asia","Fat supply quantity (g/capita/day)",2.26189823528669,2.27091923809998,1.8026468058968
"Central America","Southeast Asia","Food supply (kcal/capita/day)",589.646848906686,541.749903454462,528.323298525798
"Central America","Southeast Asia","Food supply quantity (g/capita/day)",209.825827722547,193.515640377213,189.565399262899
"Central America","Southeast Asia","Protein supply quantity (g/capita/day)",2.48149135328373,2.40848105838825,2.48279606879607
"Central America","W Asia and SE Mediterranean","Fat supply quantity (g/capita/day)",4.52485630913432,5.04201599541564,5.62338574938574
"Central America","W Asia and SE Mediterranean","Food supply (kcal/capita/day)",772.119923449086,733.557391650991,737.58957002457
"Central America","W Asia and SE Mediterranean","Food supply quantity (g/capita/day)",371.429657794677,355.614042081397,358.210644963145
"Central America","W Asia and SE Mediterranean","Protein supply quantity (g/capita/day)",8.35687505526572,8.49968171116066,8.92498771498772
"Central Asia","Africa","Fat supply quantity (g/capita/day)",11.3245986810567,11.2430031321669,10.8684611060244
"Central Asia","Africa","Food supply (kcal/capita/day)",159.569076091886,159.655058423133,156.247242666955
"Central Asia","Africa","Food supply quantity (g/capita/day)",30.0681885907519,29.1846022638039,29.4660052615912
"Central Asia","Africa","Protein supply quantity (g/capita/day)",1.36430949820556,1.32287164390444,1.37566409897849
"Central Asia","Central Asia","Fat supply quantity (g/capita/day)",5.67309381599576,5.60760898936034,5.59057458735224
"Central Asia","Central Asia","Food supply (kcal/capita/day)",1278.77387507612,1288.71182382885,1259.35034530315
"Central Asia","Central Asia","Food supply quantity (g/capita/day)",566.707889042924,570.067431918697,575.683117447959
"Central Asia","Central Asia","Protein supply quantity (g/capita/day)",37.2430379746835,37.5397573030069,36.6239538835694
"Central Asia","East Asia","Fat supply quantity (g/capita/day)",1.21555394322584,1.2427320414191,1.22807317895931
"Central Asia","East Asia","Food supply (kcal/capita/day)",107.207753002604,107.713096549862,112.623946335502
"Central Asia","East Asia","Food supply quantity (g/capita/day)",101.276900353705,97.134669942044,110.94669981594
"Central Asia","East Asia","Protein supply quantity (g/capita/day)",1.65136105100864,1.6524186821415,1.71496239990834
"Central Asia","Europe","Fat supply quantity (g/capita/day)",0.986442610419393,0.924248937338077,0.748531809880875
"Central Asia","Europe","Food supply (kcal/capita/day)",201.245598123939,193.111770014947,201.405592313522
"Central Asia","Europe","Food supply quantity (g/capita/day)",80.615640749906,73.6244343114814,82.8061121462682
