"Y2009","Y2010","Y2011","Country","Element"
22.5,21.2,21.8,"Philippines","Protein supply quantity (g/capita/day)"
1.2,1.1,1.1,"Poland","Protein supply quantity (g/capita/day)"
0.5,0.5,0.6,"Portugal","Protein supply quantity (g/capita/day)"
21.9,21.1,22.8,"Republic of Korea","Protein supply quantity (g/capita/day)"
0.9,1.2,0.8,"Republic of Moldova","Protein supply quantity (g/capita/day)"
0.3,0.3,0.4,"Romania","Protein supply quantity (g/capita/day)"
1.6,1.5,1.6,"Russian Federation","Protein supply quantity (g/capita/day)"
6.4,6.7,6.2,"Rwanda","Protein supply quantity (g/capita/day)"
3.1,2.7,2.6,"Saint Kitts and Nevis","Protein supply quantity (g/capita/day)"
3.3,4.1,4.3,"Saint Lucia","Protein supply quantity (g/capita/day)"
4.5,4.9,5.2,"Saint Vincent and the Grenadines","Protein supply quantity (g/capita/day)"
11.1,10.9,10.9,"Samoa","Protein supply quantity (g/capita/day)"
7.1,6.7,6.7,"Sao Tome and Principe","Protein supply quantity (g/capita/day)"
28,29.3,28.3,"Saudi Arabia","Protein supply quantity (g/capita/day)"
24.2,24.1,24.4,"Senegal","Protein supply quantity (g/capita/day)"
2.5,2.4,2.7,"Serbia","Protein supply quantity (g/capita/day)"
27.3,26.5,27.2,"Sierra Leone","Protein supply quantity (g/capita/day)"
0.9,0.9,0.6,"Slovakia","Protein supply quantity (g/capita/day)"
0.7,0.6,0.7,"Slovenia","Protein supply quantity (g/capita/day)"
6.8,6.5,6.5,"Solomon Islands","Protein supply quantity (g/capita/day)"
10.9,10.7,9.6,"Somalia","Protein supply quantity (g/capita/day)"
4,3.9,4.2,"South Africa","Protein supply quantity (g/capita/day)"
2.7,3,3.2,"Spain","Protein supply quantity (g/capita/day)"
26.9,28,27.9,"Sri Lanka","Protein supply quantity (g/capita/day)"
26.6,27.1,27.1,"Sudan (former)","Protein supply quantity (g/capita/day)"
2.7,2.4,2.6,"Suriname","Protein supply quantity (g/capita/day)"
5,4.9,4.9,"Swaziland","Protein supply quantity (g/capita/day)"
1.3,1.3,1.1,"Sweden","Protein supply quantity (g/capita/day)"
1.4,1.4,1.4,"Switzerland","Protein supply quantity (g/capita/day)"
40.5,40.1,40.6,"Syrian Arab Republic","Protein supply quantity (g/capita/day)"
31.3,30.9,30.5,"Tajikistan","Protein supply quantity (g/capita/day)"
22.1,21.7,20.9,"Thailand","Protein supply quantity (g/capita/day)"
