Item,food_group,Region,Region_macronew,Notes
"Roots, other",Starchy roots,America_South_tropical,Latin America,"as determined from contributing species (Xanthosoma) (see Table 1, Khoury et al., 2014) Regions per GRIN (2014)"
Sweet potatoes,Starchy roots,America_South_tropical,Latin America,"Per Flores-Palacios (1998), with region further refined"
Tea,Stimulants,America_South_tropical,Latin America,"as determined from contributing species (Ilex) (see Table 1, Khoury et al., 2014) (Mate native to Paraguay, Uruguay, Brazil, Argentina) (GRIN, 2014) "
Yams,Starchy roots,America_South_tropical,Latin America,"Added for D. trifida, native to Guyana, other tropical S America (GRIN, 2014)"
Apples,Fruits,Asia_Central,Central Asia,Per Flores-Palacios (1998)
Barley,Cereals,Asia_Central,Central Asia,Per Flores-Palacios (1998)
Onions,Vegetables,Asia_Central,Central Asia,Per Flores-Palacios (1998)
Wheat,Cereals,Asia_Central,Central Asia,Per Flores-Palacios (1998)
Apples,Fruits,Asia_East,East Asia,"M. prunifolia likely involved in origin of domestic apple (GRIN, 2014)"
Grapefruit,Fruits,Asia_East,East Asia,"Included as grapefruit is a relatively new hybrid from pomelo (SE Asia) and Orange (E Asia), although this hybrid likely originated from introduced material in Caribbean (GRIN, 2014)"
Grapes,Alcoholic beverages,Asia_East,East Asia,"Important genes/rootstock from this region (GRIN, 2014)"
Lemons & limes,Fruits,Asia_East,East Asia,As per GRIN (2014)
Millets,Cereals,Asia_East,East Asia,Per Flores-Palacios (1998)
Oranges & mandarines,Fruits,Asia_East,East Asia,Per Flores-Palacios (1998)
Rice,Cereals,Asia_East,East Asia,Per Flores-Palacios (1998)
Soybean,Oilcrops,Asia_East,East Asia,Per Flores-Palacios (1998)
Tea,Stimulants,Asia_East,East Asia,"as determined from contributing species (Camellia) (see Table 1, Khoury et al., 2014) (Tea native to S, E and SE Asia) (GRIN, 2014)"
Bananas & plantains,Fruits,Asia_South,South Asia,Per Flores-Palacios (1998)
Coconuts,Oilcrops,Asia_South,South Asia,"Added as suggested by J. Engels (see Engels et al., 2001)"
