"Item","Country","Element","Unit","Y2009","Y2010","Y2011","Average","Data.type","Region","Region_nice","Region_code","Region_macronew","Region_macro1","Region_macro1_nice","Region_macro2","Region_macro2_nice","Region_macro3","Region_macro3_nice","food_group","Region_crops"
"Apples","The former Yugoslav Republic of Macedonia","Protein supply quantity (g/capita/day)","g/capita/day",0.1,0,0.1,0.066666667,"Food supplies (2009-2011 mean) ","Europe_Eastern_south","SE Europe","EEU-S","Europe","Europe_Eastern","Eastern Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Eastern_south"
"Apples","Portugal","Food supply (kcal/capita/day)","kcal/capita/day",36,29,32,32.33333333,"Food supplies (2009-2011 mean) ","Europe_Western_south","SW Europe","WEU-S","Europe","Europe_Western","Western Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Western_south"
"Apples","Portugal","Food supply quantity (g/capita/day)","g/capita/day",74,60,66,66.66666667,"Food supplies (2009-2011 mean) ","Europe_Western_south","SW Europe","WEU-S","Europe","Europe_Western","Western Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Western_south"
"Apples","Portugal","Protein supply quantity (g/capita/day)","g/capita/day",0.2,0.2,0.2,0.2,"Food supplies (2009-2011 mean) ","Europe_Western_south","SW Europe","WEU-S","Europe","Europe_Western","Western Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Western_south"
"Apples","Croatia","Protein supply quantity (g/capita/day)","g/capita/day",0.1,0.1,0.1,0.1,"Food supplies (2009-2011 mean) ","Europe_Eastern_south","SE Europe","EEU-S","Europe","Europe_Eastern","Eastern Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Eastern_south"
"Apples","Republic of Moldova","Food supply (kcal/capita/day)","kcal/capita/day",4,1,1,2,"Food supplies (2009-2011 mean) ","Europe_Eastern_north","NE Europe","EEU-N","Europe","Europe_Eastern","Eastern Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Eastern_north"
"Apples","Bosnia and Herzegovina","Protein supply quantity (g/capita/day)","g/capita/day",0.1,0.1,0.1,0.1,"Food supplies (2009-2011 mean) ","Europe_Eastern_south","SE Europe","EEU-S","Europe","Europe_Eastern","Eastern Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Eastern_south"
"Apples","Uzbekistan","Fat supply quantity (g/capita/day)","g/capita/day",0,0,0,0,"Food supplies (2009-2011 mean) ","Asia_Central","Central Asia","CAS","Central Asia","Asia_Central","Central Asia","Asia and the Pacific","Asia and the Pacific","Developing_country","Developing countries","Fruits","Asia_Central"
"Apples","Germany","Food supply (kcal/capita/day)","kcal/capita/day",27,25,25,25.66666667,"Food supplies (2009-2011 mean) ","Europe_Western_north","NW Europe","WEU-N","Europe","Europe_Western","Western Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Western_north"
"Apples","Hungary","Food supply (kcal/capita/day)","kcal/capita/day",33,35,38,35.33333333,"Food supplies (2009-2011 mean) ","Europe_Eastern_north","NE Europe","EEU-N","Europe","Europe_Eastern","Eastern Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Eastern_north"
"Apples","Austria","Protein supply quantity (g/capita/day)","g/capita/day",0.3,0.4,0.4,0.366666667,"Food supplies (2009-2011 mean) ","Europe_Western_north","NW Europe","WEU-N","Europe","Europe_Western","Western Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Western_north"
"Apples","Belgium","Fat supply quantity (g/capita/day)","g/capita/day",0.2,0.1,0,0.1,"Food supplies (2009-2011 mean) ","Europe_Western_north","NW Europe","WEU-N","Europe","Europe_Western","Western Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Western_north"
"Apples","China, Hong Kong SAR","Protein supply quantity (g/capita/day)","g/capita/day",0.1,0.1,0.1,0.1,"Food supplies (2009-2011 mean) ","Asia_East","East Asia","EAS","East Asia","Asia_East","East Asia","Asia and the Pacific","Asia and the Pacific","Developed_country","Developed countries","Fruits","Asia_East"
"Apples","Czech Republic","Protein supply quantity (g/capita/day)","g/capita/day",0,0,0,0,"Food supplies (2009-2011 mean) ","Europe_Eastern_north","NE Europe","EEU-N","Europe","Europe_Eastern","Eastern Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Eastern_north"
"Apples","Italy","Fat supply quantity (g/capita/day)","g/capita/day",0.2,0.2,0.2,0.2,"Food supplies (2009-2011 mean) ","Europe_Western_south","SW Europe","WEU-S","Europe","Europe_Western","Western Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Western_south"
"Apples","United Kingdom","Food supply quantity (g/capita/day)","g/capita/day",76,77,75,76,"Food supplies (2009-2011 mean) ","Europe_Western_north","NW Europe","WEU-N","Europe","Europe_Western","Western Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Western_north"
"Apples","Kazakhstan","Food supply (kcal/capita/day)","kcal/capita/day",26,21,39,28.66666667,"Food supplies (2009-2011 mean) ","Asia_Central","Central Asia","CAS","Central Asia","Asia_Central","Central Asia","Asia and the Pacific","Asia and the Pacific","Developing_country","Developing countries","Fruits","Asia_Central"
"Apples","China, mainland","Fat supply quantity (g/capita/day)","g/capita/day",0.1,0.1,0.1,0.1,"Food supplies (2009-2011 mean) ","Asia_East","East Asia","EAS","East Asia","Asia_East","East Asia","Asia and the Pacific","Asia and the Pacific","Developing_country","Developing countries","Fruits","Asia_East"
"Apples","Georgia","Fat supply quantity (g/capita/day)","g/capita/day",0.1,0.1,0,0.066666667,"Food supplies (2009-2011 mean) ","Asia_Central","Central Asia","CAS","Central Asia","Asia_Central","Central Asia","Asia and the Pacific","Asia and the Pacific","Developing_country","Developing countries","Fruits","Asia_Central"
"Apples","Georgia","Fat supply quantity (g/capita/day)","g/capita/day",0.1,0.1,0,0.066666667,"Food supplies (2009-2011 mean) ","Europe_Eastern_south","SE Europe","EEU-S","Europe","Europe_Eastern","Eastern Europe","Europe","Europe","Developing_country","Developing countries","Fruits","Europe_Eastern_south"
"Apples","Kazakhstan","Fat supply quantity (g/capita/day)","g/capita/day",0.2,0.1,0.2,0.166666667,"Food supplies (2009-2011 mean) ","Asia_Central","Central Asia","CAS","Central Asia","Asia_Central","Central Asia","Asia and the Pacific","Asia and the Pacific","Developing_country","Developing countries","Fruits","Asia_Central"
"Apples","Kazakhstan","Protein supply quantity (g/capita/day)","g/capita/day",0.1,0.1,0.2,0.133333333,"Food supplies (2009-2011 mean) ","Asia_Central","Central Asia","CAS","Central Asia","Asia_Central","Central Asia","Asia and the Pacific","Asia and the Pacific","Developing_country","Developing countries","Fruits","Asia_Central"
"Apples","The former Yugoslav Republic of Macedonia","Food supply quantity (g/capita/day)","g/capita/day",67,14,43,41.33333333,"Food supplies (2009-2011 mean) ","Europe_Eastern_south","SE Europe","EEU-S","Europe","Europe_Eastern","Eastern Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Eastern_south"
"Apples","Slovenia","Food supply quantity (g/capita/day)","g/capita/day",118,106,100,108,"Food supplies (2009-2011 mean) ","Europe_Eastern_south","SE Europe","EEU-S","Europe","Europe_Eastern","Eastern Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Eastern_south"
"Apples","Slovenia","Protein supply quantity (g/capita/day)","g/capita/day",0.1,0.1,0.1,0.1,"Food supplies (2009-2011 mean) ","Europe_Eastern_south","SE Europe","EEU-S","Europe","Europe_Eastern","Eastern Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Eastern_south"
"Apples","Czech Republic","Food supply (kcal/capita/day)","kcal/capita/day",19,14,14,15.66666667,"Food supplies (2009-2011 mean) ","Europe_Eastern_north","NE Europe","EEU-N","Europe","Europe_Eastern","Eastern Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Eastern_north"
"Apples","Czech Republic","Food supply quantity (g/capita/day)","g/capita/day",42,33,32,35.66666667,"Food supplies (2009-2011 mean) ","Europe_Eastern_north","NE Europe","EEU-N","Europe","Europe_Eastern","Eastern Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Eastern_north"
"Apples","Japan","Protein supply quantity (g/capita/day)","g/capita/day",0.1,0.1,0.1,0.1,"Food supplies (2009-2011 mean) ","Asia_East","East Asia","EAS","East Asia","Asia_East","East Asia","Asia and the Pacific","Asia and the Pacific","Developed_country","Developed countries","Fruits","Asia_East"
"Apples","China, mainland","Food supply quantity (g/capita/day)","g/capita/day",41,45,49,45,"Food supplies (2009-2011 mean) ","Asia_East","East Asia","EAS","East Asia","Asia_East","East Asia","Asia and the Pacific","Asia and the Pacific","Developing_country","Developing countries","Fruits","Asia_East"
"Apples","France","Fat supply quantity (g/capita/day)","g/capita/day",0.1,0.1,0.1,0.1,"Food supplies (2009-2011 mean) ","Europe_Western_north","NW Europe","WEU-N","Europe","Europe_Western","Western Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Western_north"
"Apples","Uzbekistan","Food supply quantity (g/capita/day)","g/capita/day",3,1,2,2,"Food supplies (2009-2011 mean) ","Asia_Central","Central Asia","CAS","Central Asia","Asia_Central","Central Asia","Asia and the Pacific","Asia and the Pacific","Developing_country","Developing countries","Fruits","Asia_Central"
"Apples","Denmark","Fat supply quantity (g/capita/day)","g/capita/day",0.1,0.1,0.1,0.1,"Food supplies (2009-2011 mean) ","Europe_Western_north","NW Europe","WEU-N","Europe","Europe_Western","Western Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Western_north"
"Apples","Georgia","Protein supply quantity (g/capita/day)","g/capita/day",0,0,0,0,"Food supplies (2009-2011 mean) ","Europe_Eastern_south","SE Europe","EEU-S","Europe","Europe_Eastern","Eastern Europe","Europe","Europe","Developing_country","Developing countries","Fruits","Europe_Eastern_south"
"Apples","Norway","Protein supply quantity (g/capita/day)","g/capita/day",0.1,0.1,0.1,0.1,"Food supplies (2009-2011 mean) ","Europe_Western_north","NW Europe","WEU-N","Europe","Europe_Western","Western Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Western_north"
"Apples","Bulgaria","Fat supply quantity (g/capita/day)","g/capita/day",0.1,0,0.1,0.066666667,"Food supplies (2009-2011 mean) ","Europe_Eastern_south","SE Europe","EEU-S","Europe","Europe_Eastern","Eastern Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Eastern_south"
"Apples","Slovenia","Food supply (kcal/capita/day)","kcal/capita/day",48,46,43,45.66666667,"Food supplies (2009-2011 mean) ","Europe_Eastern_south","SE Europe","EEU-S","Europe","Europe_Eastern","Eastern Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Eastern_south"
"Apples","Armenia","Food supply (kcal/capita/day)","kcal/capita/day",43,18,26,29,"Food supplies (2009-2011 mean) ","Asia_Central","Central Asia","CAS","Central Asia","Asia_Central","Central Asia","Asia and the Pacific","Asia and the Pacific","Developing_country","Developing countries","Fruits","Asia_Central"
"Apples","Armenia","Food supply (kcal/capita/day)","kcal/capita/day",43,18,26,29,"Food supplies (2009-2011 mean) ","Europe_Eastern_south","SE Europe","EEU-S","Europe","Europe_Eastern","Eastern Europe","Europe","Europe","Developing_country","Developing countries","Fruits","Europe_Eastern_south"
"Apples","Japan","Food supply (kcal/capita/day)","kcal/capita/day",11,11,11,11,"Food supplies (2009-2011 mean) ","Asia_East","East Asia","EAS","East Asia","Asia_East","East Asia","Asia and the Pacific","Asia and the Pacific","Developed_country","Developed countries","Fruits","Asia_East"
"Apples","Albania","Fat supply quantity (g/capita/day)","g/capita/day",0.2,0.2,0.2,0.2,"Food supplies (2009-2011 mean) ","Europe_Eastern_south","SE Europe","EEU-S","Europe","Europe_Eastern","Eastern Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Eastern_south"
"Apples","Norway","Food supply (kcal/capita/day)","kcal/capita/day",27,27,26,26.66666667,"Food supplies (2009-2011 mean) ","Europe_Western_north","NW Europe","WEU-N","Europe","Europe_Western","Western Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Western_north"
"Apples","Azerbaijan","Fat supply quantity (g/capita/day)","g/capita/day",0.1,0.1,0.1,0.1,"Food supplies (2009-2011 mean) ","Asia_Central","Central Asia","CAS","Central Asia","Asia_Central","Central Asia","Asia and the Pacific","Asia and the Pacific","Developing_country","Developing countries","Fruits","Asia_Central"
"Apples","Sweden","Protein supply quantity (g/capita/day)","g/capita/day",0.1,0.1,0,0.066666667,"Food supplies (2009-2011 mean) ","Europe_Western_north","NW Europe","WEU-N","Europe","Europe_Western","Western Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Western_north"
"Apples","Bulgaria","Food supply quantity (g/capita/day)","g/capita/day",19,10,17,15.33333333,"Food supplies (2009-2011 mean) ","Europe_Eastern_south","SE Europe","EEU-S","Europe","Europe_Eastern","Eastern Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Eastern_south"
"Apples","Iceland","Protein supply quantity (g/capita/day)","g/capita/day",0.1,0.1,0.1,0.1,"Food supplies (2009-2011 mean) ","Europe_Western_north","NW Europe","WEU-N","Europe","Europe_Western","Western Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Western_north"
"Apples","Republic of Korea","Fat supply quantity (g/capita/day)","g/capita/day",0,0,0,0,"Food supplies (2009-2011 mean) ","Asia_East","East Asia","EAS","East Asia","Asia_East","East Asia","Asia and the Pacific","Asia and the Pacific","Developed_country","Developed countries","Fruits","Asia_East"
"Apples","Republic of Korea","Food supply (kcal/capita/day)","kcal/capita/day",7,6,2,5,"Food supplies (2009-2011 mean) ","Asia_East","East Asia","EAS","East Asia","Asia_East","East Asia","Asia and the Pacific","Asia and the Pacific","Developed_country","Developed countries","Fruits","Asia_East"
"Apples","Republic of Korea","Food supply quantity (g/capita/day)","g/capita/day",19,16,9,14.66666667,"Food supplies (2009-2011 mean) ","Asia_East","East Asia","EAS","East Asia","Asia_East","East Asia","Asia and the Pacific","Asia and the Pacific","Developed_country","Developed countries","Fruits","Asia_East"
"Apples","Kazakhstan","Food supply quantity (g/capita/day)","g/capita/day",63,52,84,66.33333333,"Food supplies (2009-2011 mean) ","Asia_Central","Central Asia","CAS","Central Asia","Asia_Central","Central Asia","Asia and the Pacific","Asia and the Pacific","Developing_country","Developing countries","Fruits","Asia_Central"
"Apples","Russian Federation","Protein supply quantity (g/capita/day)","g/capita/day",0.1,0,0.1,0.066666667,"Food supplies (2009-2011 mean) ","Europe_Eastern_north","NE Europe","EEU-N","Europe","Europe_Eastern","Eastern Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Eastern_north"
"Apples","Republic of Moldova","Food supply quantity (g/capita/day)","g/capita/day",8,1,3,4,"Food supplies (2009-2011 mean) ","Europe_Eastern_north","NE Europe","EEU-N","Europe","Europe_Eastern","Eastern Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Eastern_north"
"Apples","Belgium","Food supply quantity (g/capita/day)","g/capita/day",79,62,57,66,"Food supplies (2009-2011 mean) ","Europe_Western_north","NW Europe","WEU-N","Europe","Europe_Western","Western Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Western_north"
"Apples","Netherlands","Food supply (kcal/capita/day)","kcal/capita/day",32,29,43,34.66666667,"Food supplies (2009-2011 mean) ","Europe_Western_north","NW Europe","WEU-N","Europe","Europe_Western","Western Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Western_north"
"Apples","Netherlands","Food supply quantity (g/capita/day)","g/capita/day",76,69,93,79.33333333,"Food supplies (2009-2011 mean) ","Europe_Western_north","NW Europe","WEU-N","Europe","Europe_Western","Western Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Western_north"
"Apples","Mongolia","Protein supply quantity (g/capita/day)","g/capita/day",0,0,0,0,"Food supplies (2009-2011 mean) ","Asia_East","East Asia","EAS","East Asia","Asia_East","East Asia","Asia and the Pacific","Asia and the Pacific","Developing_country","Developing countries","Fruits","Asia_East"
"Apples","Slovakia","Food supply quantity (g/capita/day)","g/capita/day",37,30,28,31.66666667,"Food supplies (2009-2011 mean) ","Europe_Eastern_north","NE Europe","EEU-N","Europe","Europe_Eastern","Eastern Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Eastern_north"
"Apples","China, Macao SAR","Fat supply quantity (g/capita/day)","g/capita/day",0,0,0,0,"Food supplies (2009-2011 mean) ","Asia_East","East Asia","EAS","East Asia","Asia_East","East Asia","Asia and the Pacific","Asia and the Pacific","Developed_country","Developed countries","Fruits","Asia_East"
"Apples","Democratic People's Republic of Korea","Food supply quantity (g/capita/day)","g/capita/day",74,76,76,75.33333333,"Food supplies (2009-2011 mean) ","Asia_East","East Asia","EAS","East Asia","Asia_East","East Asia","Asia and the Pacific","Asia and the Pacific","Developing_country","Developing countries","Fruits","Asia_East"
"Apples","Republic of Moldova","Fat supply quantity (g/capita/day)","g/capita/day",0,0,0,0,"Food supplies (2009-2011 mean) ","Europe_Eastern_north","NE Europe","EEU-N","Europe","Europe_Eastern","Eastern Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Eastern_north"
"Apples","Albania","Food supply (kcal/capita/day)","kcal/capita/day",24,29,30,27.66666667,"Food supplies (2009-2011 mean) ","Europe_Eastern_south","SE Europe","EEU-S","Europe","Europe_Eastern","Eastern Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Eastern_south"
"Apples","Uzbekistan","Protein supply quantity (g/capita/day)","g/capita/day",0,0,0,0,"Food supplies (2009-2011 mean) ","Asia_Central","Central Asia","CAS","Central Asia","Asia_Central","Central Asia","Asia and the Pacific","Asia and the Pacific","Developing_country","Developing countries","Fruits","Asia_Central"
"Apples","Ireland","Food supply (kcal/capita/day)","kcal/capita/day",4,9,7,6.666666667,"Food supplies (2009-2011 mean) ","Europe_Western_north","NW Europe","WEU-N","Europe","Europe_Western","Western Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Western_north"
"Apples","Norway","Fat supply quantity (g/capita/day)","g/capita/day",0.2,0.2,0.2,0.2,"Food supplies (2009-2011 mean) ","Europe_Western_north","NW Europe","WEU-N","Europe","Europe_Western","Western Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Western_north"
"Apples","Turkmenistan","Fat supply quantity (g/capita/day)","g/capita/day",0.1,0.1,0.1,0.1,"Food supplies (2009-2011 mean) ","Asia_Central","Central Asia","CAS","Central Asia","Asia_Central","Central Asia","Asia and the Pacific","Asia and the Pacific","Developing_country","Developing countries","Fruits","Asia_Central"
"Apples","Turkmenistan","Protein supply quantity (g/capita/day)","g/capita/day",0,0,0,0,"Food supplies (2009-2011 mean) ","Asia_Central","Central Asia","CAS","Central Asia","Asia_Central","Central Asia","Asia and the Pacific","Asia and the Pacific","Developing_country","Developing countries","Fruits","Asia_Central"
"Apples","Romania","Food supply quantity (g/capita/day)","g/capita/day",56,60,64,60,"Food supplies (2009-2011 mean) ","Europe_Eastern_north","NE Europe","EEU-N","Europe","Europe_Eastern","Eastern Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Eastern_north"
