"Item","Country","Element","Y2009","Y2010","Y2011","Average"
"Fruit_stone_nes","Afghanistan","Production",35262,45000,44713,41658.3333333333
"Fruit_tropical_fresh_nes","Afghanistan","Production",0,0,0,0
"Garlic","Afghanistan","Production",0,0,0,0
"Ginger","Afghanistan","Production",0,0,0,0
"Gooseberries","Afghanistan","Production",0,0,0,0
"Grain_mixed","Afghanistan","Production",0,0,0,0
"Grapefruit","Afghanistan","Production",0,0,0,0
"Grapes","Afghanistan","Production",411800,430800,526214,456271.333333333
"Groundnut","Afghanistan","Production",0,0,0,0
"Hazelnuts","Afghanistan","Production",0,0,0,0
"Hempseed","Afghanistan","Production",0,0,0,0
"Hops","Afghanistan","Production",0,0,0,0
"Kiwi","Afghanistan","Production",0,0,0,0
"Kola_nuts","Afghanistan","Production",0,0,0,0
"Leeks","Afghanistan","Production",0,0,0,0
"Lemons & limes","Afghanistan","Production",0,0,0,0
"Lentils","Afghanistan","Production",0,0,0,0
"Lettuce","Afghanistan","Production",0,0,0,0
"Linseed","Afghanistan","Production",1200,1200,2500,1633.33333333333
"Lupins","Afghanistan","Production",0,0,0,0
"Maize","Afghanistan","Production",3e+05,301000,300120,300373.333333333
"Mangoes_mangosteens_guavas","Afghanistan","Production",0,0,0,0
"Mate","Afghanistan","Production",0,0,0,0
"Melons","Afghanistan","Production",424800,350000,250000,341600
"Millets","Afghanistan","Production",19000,15000,15000,16333.3333333333
"Mustard_seed","Afghanistan","Production",0,0,0,0
"Nutmeg_mace_cardamoms","Afghanistan","Production",0,0,0,0
"Nuts_nes","Afghanistan","Production",1177,1503,1649,1443
"Oats","Afghanistan","Production",0,0,0,0
"Oilseeds_nes","Afghanistan","Production",0,0,0,0
"Okra","Afghanistan","Production",0,0,0,0
"Olives","Afghanistan","Production",9000,7300,6600,7633.33333333333
"Onions","Afghanistan","Production",0,0,0,0
"Oranges","Afghanistan","Production",4000,2000,6000,4000
"Palm oil","Afghanistan","Production",0,0,0,0
"Papayas","Afghanistan","Production",0,0,0,0
"Peaches & nectarines","Afghanistan","Production",16752,13400,15016,15056
"Pears","Afghanistan","Production",3000,2900,3000,2966.66666666667
"Peas","Afghanistan","Production",0,0,0,0
"Pepper","Afghanistan","Production",0,0,0,0
"Peppermint","Afghanistan","Production",0,0,0,0
"Persimmons","Afghanistan","Production",0,0,0,0
"Pigeonpeas","Afghanistan","Production",0,0,0,0
"Pineapples","Afghanistan","Production",0,0,0,0
"Pistachios","Afghanistan","Production",2200,2000,2000,2066.66666666667
"Plums","Afghanistan","Production",34600,26527,28406,29844.3333333333
"Poppy","Afghanistan","Production",0,0,0,0
"Potatoes","Afghanistan","Production",302400,246000,205000,251133.333333333
"Pulses_nes","Afghanistan","Production",50000,53300,67000,56766.6666666667
"Pumpkins & gourds","Afghanistan","Production",0,0,0,0
"Quinces","Afghanistan","Production",0,0,0,0
"Quinoa","Afghanistan","Production",0,0,0,0
"Rapeseed","Afghanistan","Production",0,0,0,0
"Raspberries","Afghanistan","Production",0,0,0,0
"Rice","Afghanistan","Production",645000,672000,672000,663000
"Roots_tubers_nes","Afghanistan","Production",0,0,0,0
"Rye","Afghanistan","Production",0,0,0,0
"Safflower_seed","Afghanistan","Production",0,0,0,0
"Sesame","Afghanistan","Production",32000,32000,32000,32000
"Sheanuts","Afghanistan","Production",0,0,0,0
"Sorghum","Afghanistan","Production",0,0,0,0
"Soybean","Afghanistan","Production",0,0,0,0
"Spices_nes","Afghanistan","Production",0,0,0,0
"Spinach","Afghanistan","Production",0,0,0,0
"Strawberries","Afghanistan","Production",0,0,0,0
"Sugarcane","Afghanistan","Production",123200,92400,92460,102686.666666667
"Sunflower","Afghanistan","Production",2500,2399,2363,2420.66666666667
"Sweet potatoes","Afghanistan","Production",0,0,0,0
"Tangerines_mandarins","Afghanistan","Production",0,0,0,0
"Taro","Afghanistan","Production",0,0,0,0
"Tea","Afghanistan","Production",0,0,0,0
"Tea_nes","Afghanistan","Production",0,0,0,0
"Tomatoes","Afghanistan","Production",0,0,0,0
"Triticale","Afghanistan","Production",0,0,0,0
"Vanilla","Afghanistan","Production",0,0,0,0
"Vegetables_fresh_nes","Afghanistan","Production",686000,660000,480000,608666.666666667
"Vegetables_leguminous_nes","Afghanistan","Production",0,0,0,0
"Vetches","Afghanistan","Production",0,0,0,0
"Walnuts","Afghanistan","Production",10002,11900,13902,11934.6666666667
"Watermelons","Afghanistan","Production",250000,251420,203328,234916
"Wheat","Afghanistan","Production",5064000,4532000,3388000,4328000
"Yams","Afghanistan","Production",0,0,0,0
"Yautia","Afghanistan","Production",0,0,0,0
"Alfalfa","Albania","Production",4074390,4361000,4100144,4178511.33333333
"Almonds","Albania","Production",0,0,0,0
"Anise_badian_fennel_coriander","Albania","Production",0,0,0,0
"Apples","Albania","Production",47202,54604,64000,55268.6666666667
"Apricots","Albania","Production",3850,3471,3900,3740.33333333333
"Areca_nuts","Albania","Production",0,0,0,0
"Artichokes","Albania","Production",0,0,0,0
"Asparagus","Albania","Production",0,0,0,0
"Avocados","Albania","Production",0,0,0,0
"Bambara_beans","Albania","Production",0,0,0,0
"Bananas & plantains","Albania","Production",0,0,0,0
"Barley","Albania","Production",4500,7300,8700,6833.33333333333
"Beans","Albania","Production",29902,33307,33500,32236.3333333333
"Beet_sugar","Albania","Production",40000,40000,40000,40000
"Berries_nes","Albania","Production",0,0,0,0
"Blueberries","Albania","Production",0,0,0,0
"Brazil_nuts","Albania","Production",0,0,0,0
"Buckwheat","Albania","Production",0,0,0,0
"Cabbages","Albania","Production",31740,40433,47700,39957.6666666667
"Carob","Albania","Production",0,0,0,0
"Carrots & turnips","Albania","Production",6608,6303,9200,7370.33333333333
"Cashew","Albania","Production",0,0,0,0
"Cassava","Albania","Production",0,0,0,0
"Castor_oil","Albania","Production",0,0,0,0
"Cereals_nes","Albania","Production",0,0,0,0
"Cherries","Albania","Production",26250,27528,31400,28392.6666666667
"Chestnut","Albania","Production",5580,5290,5200,5356.66666666667
"Chickpeas","Albania","Production",0,0,0,0
"Chicory_roots","Albania","Production",0,0,0,0
"Chillies & peppers","Albania","Production",51757,65475,63700,60310.6666666667
"Cinnamon","Albania","Production",0,0,0,0
"Clover","Albania","Production",8e+05,8e+05,8e+05,8e+05
"Cloves","Albania","Production",0,0,0,0
"Cocoa beans","Albania","Production",0,0,0,0
"Coconuts","Albania","Production",0,0,0,0
"Coffee","Albania","Production",0,0,0,0
"Cottonseed oil","Albania","Production",1599,1438,1365,1467.33333333333
"Cowpeas","Albania","Production",0,0,0,0
"Cranberries","Albania","Production",0,0,0,0
"Cucumbers","Albania","Production",60980,68959,72000,67313
"Currants","Albania","Production",0,0,0,0
"Dates","Albania","Production",9500,10921,11586,10669
"Eggplants","Albania","Production",19579,23641,23700,22306.6666666667
"Faba_beans","Albania","Production",225,200,211,212
"Figs","Albania","Production",19517,18387,19600,19168
"Fonio","Albania","Production",0,0,0,0
"Fruit_citrus_nes","Albania","Production",0,0,0,0
"Fruit_fresh_nes","Albania","Production",14242,8947,3048,8745.66666666667
"Fruit_pome_nes","Albania","Production",0,0,0,0
"Fruit_stone_nes","Albania","Production",0,0,0,0
"Fruit_tropical_fresh_nes","Albania","Production",0,0,0,0
"Garlic","Albania","Production",7044,8132,15330,10168.6666666667
"Ginger","Albania","Production",0,0,0,0
"Gooseberries","Albania","Production",0,0,0,0
"Grain_mixed","Albania","Production",0,0,0,0
"Grapefruit","Albania","Production",0,0,0,0
"Grapes","Albania","Production",162800,184900,195200,180966.666666667
"Groundnut","Albania","Production",0,0,0,0
"Hazelnuts","Albania","Production",0,0,0,0
"Hempseed","Albania","Production",0,0,0,0
"Hops","Albania","Production",1500,1550,1600,1550
"Kiwi","Albania","Production",0,0,0,0
"Kola_nuts","Albania","Production",0,0,0,0
"Leeks","Albania","Production",17476,20682,30700,22952.6666666667
"Lemons & limes","Albania","Production",1350,1637,1900,1629
"Lentils","Albania","Production",0,0,0,0
"Lettuce","Albania","Production",8675,8995,9100,8923.33333333333
"Linseed","Albania","Production",0,0,0,0
"Lupins","Albania","Production",0,0,0,0
"Maize","Albania","Production",344990,442000,446400,411130
"Mangoes_mangosteens_guavas","Albania","Production",0,0,0,0
"Mate","Albania","Production",0,0,0,0
"Melons","Albania","Production",32696,64622,34400,43906
"Millets","Albania","Production",0,0,0,0
"Mustard_seed","Albania","Production",0,0,0,0
"Nutmeg_mace_cardamoms","Albania","Production",0,0,0,0
"Nuts_nes","Albania","Production",5237,5490,5500,5409
"Oats","Albania","Production",25000,27300,29900,27400
"Oilseeds_nes","Albania","Production",0,0,0,0
"Okra","Albania","Production",8159,8000,8153,8104
"Olives","Albania","Production",78000,70000,65400,71133.3333333333
"Onions","Albania","Production",91773,103759,141049,112193.666666667
"Oranges","Albania","Production",5750,6631,7100,6493.66666666667
"Palm oil","Albania","Production",0,0,0,0
"Papayas","Albania","Production",0,0,0,0
"Peaches & nectarines","Albania","Production",11047,11525,13100,11890.6666666667
"Pears","Albania","Production",7180,7326,8400,7635.33333333333
"Peas","Albania","Production",2572,3071,3000,2881
"Pepper","Albania","Production",0,0,0,0
"Peppermint","Albania","Production",0,0,0,0
"Persimmons","Albania","Production",0,0,0,0
"Pigeonpeas","Albania","Production",0,0,0,0
"Pineapples","Albania","Production",0,0,0,0
"Pistachios","Albania","Production",0,0,0,0
"Plums","Albania","Production",23791,26083,29600,26491.3333333333
"Poppy","Albania","Production",0,0,0,0
"Potatoes","Albania","Production",2e+05,208000,230100,212700
"Pulses_nes","Albania","Production",633,600,633,622
"Pumpkins & gourds","Albania","Production",6482,9726,9400,8536
"Quinces","Albania","Production",3200,3195,3219,3204.66666666667
"Quinoa","Albania","Production",0,0,0,0
"Rapeseed","Albania","Production",0,0,0,0
"Raspberries","Albania","Production",0,0,0,0
"Rice","Albania","Production",0,0,0,0
"Roots_tubers_nes","Albania","Production",0,0,0,0
"Rye","Albania","Production",3200,2300,3400,2966.66666666667
"Safflower_seed","Albania","Production",0,0,0,0
"Sesame","Albania","Production",0,0,0,0
"Sheanuts","Albania","Production",0,0,0,0
"Sorghum","Albania","Production",0,0,0,0
"Soybean","Albania","Production",500,500,600,533.333333333333
"Spices_nes","Albania","Production",300,321,341,320.666666666667
"Spinach","Albania","Production",10577,13768,15000,13115
"Strawberries","Albania","Production",0,0,0,0
"Sugarcane","Albania","Production",0,0,0,0
"Sunflower","Albania","Production",2300,2600,3000,2633.33333333333
"Sweet potatoes","Albania","Production",0,0,0,0
"Tangerines_mandarins","Albania","Production",2900,5037,5800,4579
"Taro","Albania","Production",0,0,0,0
"Tea","Albania","Production",0,0,0,0
"Tea_nes","Albania","Production",0,0,0,0
"Tomatoes","Albania","Production",162376,199283,2e+05,187219.666666667
"Triticale","Albania","Production",0,0,0,0
"Vanilla","Albania","Production",0,0,0,0
"Vegetables_fresh_nes","Albania","Production",16964,14949,14712,15541.6666666667
"Vegetables_leguminous_nes","Albania","Production",109,100,93,100.666666666667
"Vetches","Albania","Production",1769,1800,1950,1839.66666666667
"Walnuts","Albania","Production",0,0,0,0
"Watermelons","Albania","Production",195430,199364,231200,208664.666666667
"Wheat","Albania","Production",333100,294900,292800,306933.333333333
"Yams","Albania","Production",0,0,0,0
"Yautia","Albania","Production",0,0,0,0
"Alfalfa","Algeria","Production",20000,19619,21881,20500
"Almonds","Algeria","Production",47393,56973,22400,42255.3333333333
"Anise_badian_fennel_coriander","Algeria","Production",0,0,0,0
"Apples","Algeria","Production",267469,378637,404105,350070.333333333
"Apricots","Algeria","Production",202806,198467,285897,229056.666666667
"Areca_nuts","Algeria","Production",0,0,0,0
"Artichokes","Algeria","Production",39535,47582,46808,44641.6666666667
"Asparagus","Algeria","Production",0,0,0,0
"Avocados","Algeria","Production",0,0,0,0
"Bambara_beans","Algeria","Production",0,0,0,0
"Bananas & plantains","Algeria","Production",273,323,329,308.333333333333
"Barley","Algeria","Production",2203359,1308035,1104208,1538534
"Beans","Algeria","Production",46255,54332,55534,52040.3333333333
"Beet_sugar","Algeria","Production",0,0,0,0
"Berries_nes","Algeria","Production",0,0,0,0
"Blueberries","Algeria","Production",0,0,0,0
"Brazil_nuts","Algeria","Production",0,0,0,0
"Buckwheat","Algeria","Production",0,0,0,0
"Cabbages","Algeria","Production",128668,138911,164877,144152
"Carob","Algeria","Production",3384,2829,2865,3026
"Carrots & turnips","Algeria","Production",271219,323857,342184,312420
"Cashew","Algeria","Production",0,0,0,0
"Cassava","Algeria","Production",0,0,0,0
"Castor_oil","Algeria","Production",0,0,0,0
"Cereals_nes","Algeria","Production",0,0,0,0
"Cherries","Algeria","Production",5839,5073,7243,6051.66666666667
"Chestnut","Algeria","Production",0,0,0,0
"Chickpeas","Algeria","Production",17840,23474,24051,21788.3333333333
"Chicory_roots","Algeria","Production",0,0,0,0
"Chillies & peppers","Algeria","Production",327630,391997,397681,372436
"Cinnamon","Algeria","Production",0,0,0,0
"Clover","Algeria","Production",24000,24000,24000,24000
"Cloves","Algeria","Production",0,0,0,0
"Cocoa beans","Algeria","Production",0,0,0,0
"Coconuts","Algeria","Production",0,0,0,0
"Coffee","Algeria","Production",0,0,0,0
"Cottonseed oil","Algeria","Production",66,102.3,115.5,94.6
"Cowpeas","Algeria","Production",0,0,0,0
"Cranberries","Algeria","Production",0,0,0,0
"Cucumbers","Algeria","Production",189890,115540,109987,138472.333333333
"Currants","Algeria","Production",0,0,0,0
"Dates","Algeria","Production",600696,644741,724894,656777
"Eggplants","Algeria","Production",76317,90683,94807,87269
"Faba_beans","Algeria","Production",36495,36625,37982,37034
"Figs","Algeria","Production",83801,123763,120187,109250.333333333
"Fonio","Algeria","Production",0,0,0,0
"Fruit_citrus_nes","Algeria","Production",457,540,550,515.666666666667
"Fruit_fresh_nes","Algeria","Production",86316,98097,77759,87390.6666666667
"Fruit_pome_nes","Algeria","Production",0,0,0,0
"Fruit_stone_nes","Algeria","Production",10994,13000,13100,12364.6666666667
"Fruit_tropical_fresh_nes","Algeria","Production",0,0,0,0
"Garlic","Algeria","Production",59932,64494,53981,59469
"Ginger","Algeria","Production",0,0,0,0
"Gooseberries","Algeria","Production",0,0,0,0
"Grain_mixed","Algeria","Production",0,0,0,0
"Grapefruit","Algeria","Production",1139,1656,2040,1611.66666666667
"Grapes","Algeria","Production",492751,560862,402892,485501.666666667
"Groundnut","Algeria","Production",3057,3385,3037,3159.66666666667
"Hazelnuts","Algeria","Production",0,0,0,0
"Hempseed","Algeria","Production",0,0,0,0
"Hops","Algeria","Production",0,0,0,0
"Kiwi","Algeria","Production",0,0,0,0
"Kola_nuts","Algeria","Production",0,0,0,0
"Leeks","Algeria","Production",0,0,0,0
"Lemons & limes","Algeria","Production",60110,52136,71982,61409.3333333333
"Lentils","Algeria","Production",2693,4590,3800,3694.33333333333
"Lettuce","Algeria","Production",0,0,0,0
"Linseed","Algeria","Production",0,0,0,0
"Lupins","Algeria","Production",0,0,0,0
"Maize","Algeria","Production",58575,58359,58575,58503
"Mangoes_mangosteens_guavas","Algeria","Production",0,0,0,0
"Mate","Algeria","Production",0,0,0,0
"Melons","Algeria","Production",0,0,0,0
"Millets","Algeria","Production",0,0,0,0
"Mustard_seed","Algeria","Production",0,0,0,0
"Nutmeg_mace_cardamoms","Algeria","Production",0,0,0,0
"Nuts_nes","Algeria","Production",0,0,0,0
"Oats","Algeria","Production",95712,88434,67340,83828.6666666667
"Oilseeds_nes","Algeria","Production",0,0,0,0
"Okra","Algeria","Production",0,0,0,0
"Olives","Algeria","Production",475182,311252,610776,465736.666666667
"Onions","Algeria","Production",980520,1001604,1144491,1042205
"Oranges","Algeria","Production",626091,582496,814740,674442.333333333
"Palm oil","Algeria","Production",0,0,0,0
"Papayas","Algeria","Production",0,0,0,0
"Peaches & nectarines","Algeria","Production",147400,156890,180319,161536.333333333
"Pears","Algeria","Production",159997,234274,233147,209139.333333333
"Peas","Algeria","Production",108940,131735,135115,125263.333333333
"Pepper","Algeria","Production",0,0,0,0
"Peppermint","Algeria","Production",0,0,0,0
"Persimmons","Algeria","Production",0,0,0,0
"Pigeonpeas","Algeria","Production",0,0,0,0
"Pineapples","Algeria","Production",0,0,0,0
"Pistachios","Algeria","Production",0,0,0,0
"Plums","Algeria","Production",74406,90226,105549,90060.3333333333
"Poppy","Algeria","Production",0,0,0,0
"Potatoes","Algeria","Production",2636057,3300312,3862194,3266187.66666667
"Pulses_nes","Algeria","Production",133,198,181,170.666666666667
"Pumpkins & gourds","Algeria","Production",189887,222669,213699,208751.666666667
"Quinces","Algeria","Production",11070,11592,12459,11707
"Quinoa","Algeria","Production",0,0,0,0
"Rapeseed","Algeria","Production",37050,39053,45166,40423
"Raspberries","Algeria","Production",0,0,0,0
"Rice","Algeria","Production",263,208,274,248.333333333333
"Roots_tubers_nes","Algeria","Production",0,0,0,0
"Rye","Algeria","Production",0,0,0,0
"Safflower_seed","Algeria","Production",0,0,0,0
"Sesame","Algeria","Production",0,0,0,0
"Sheanuts","Algeria","Production",0,0,0,0
"Sorghum","Algeria","Production",389,106,940,478.333333333333
"Soybean","Algeria","Production",0,0,0,0
"Spices_nes","Algeria","Production",0,0,0,0
"Spinach","Algeria","Production",0,0,0,0
"Strawberries","Algeria","Production",0,0,0,0
"Sugarcane","Algeria","Production",0,0,0,0
"Sunflower","Algeria","Production",67,70,75,70.6666666666667
"Sweet potatoes","Algeria","Production",0,0,0,0
"Tangerines_mandarins","Algeria","Production",157155,151824,218027,175668.666666667
"Taro","Algeria","Production",0,0,0,0
"Tea","Algeria","Production",0,0,0,0
"Tea_nes","Algeria","Production",0,0,0,0
"Tomatoes","Algeria","Production",641034,718235,771606,710291.666666667
"Triticale","Algeria","Production",0,0,0,0
"Vanilla","Algeria","Production",0,0,0,0
"Vegetables_fresh_nes","Algeria","Production",350523,460692,535884,449033
"Vegetables_leguminous_nes","Algeria","Production",318950,248347,248737,272011.333333333
"Vetches","Algeria","Production",72,66,73,70.3333333333333
"Walnuts","Algeria","Production",0,0,0,0
"Watermelons","Algeria","Production",1034722,1223767,1285134,1181207.66666667
"Wheat","Algeria","Production",2953117,2605178,2554926,2704407
"Yams","Algeria","Production",0,0,0,0
"Yautia","Algeria","Production",0,0,0,0
"Alfalfa","Angola","Production",0,0,0,0
"Almonds","Angola","Production",0,0,0,0
"Anise_badian_fennel_coriander","Angola","Production",0,0,0,0
"Apples","Angola","Production",0,0,0,0
"Apricots","Angola","Production",0,0,0,0
"Areca_nuts","Angola","Production",0,0,0,0
"Artichokes","Angola","Production",0,0,0,0
"Asparagus","Angola","Production",0,0,0,0
"Avocados","Angola","Production",0,0,0,0
"Bambara_beans","Angola","Production",0,0,0,0
"Bananas & plantains","Angola","Production",1985263,2047955,2646073,2226430.33333333
"Barley","Angola","Production",0,0,0,0
"Beans","Angola","Production",247314,250117,303521,266984
"Beet_sugar","Angola","Production",0,0,0,0
"Berries_nes","Angola","Production",0,0,0,0
"Blueberries","Angola","Production",0,0,0,0
"Brazil_nuts","Angola","Production",0,0,0,0
"Buckwheat","Angola","Production",0,0,0,0
"Cabbages","Angola","Production",0,0,0,0
"Carob","Angola","Production",0,0,0,0
"Carrots & turnips","Angola","Production",0,0,0,0
"Cashew","Angola","Production",2113,1750,2085,1982.66666666667
"Cassava","Angola","Production",12827580,13858681,14333509,13673256.6666667
"Castor_oil","Angola","Production",3433,4000,4000,3811
"Cereals_nes","Angola","Production",0,0,0,0
"Cherries","Angola","Production",0,0,0,0
"Chestnut","Angola","Production",0,0,0,0
"Chickpeas","Angola","Production",0,0,0,0
"Chicory_roots","Angola","Production",0,0,0,0
"Chillies & peppers","Angola","Production",0,0,0,0
"Cinnamon","Angola","Production",0,0,0,0
"Clover","Angola","Production",0,0,0,0
"Cloves","Angola","Production",0,0,0,0
"Cocoa beans","Angola","Production",288,321,336,315
"Coconuts","Angola","Production",0,0,0,0
"Coffee","Angola","Production",11982,46307,48533,35607.3333333333
"Cottonseed oil","Angola","Production",5600,5400,8600,6533.33333333333
"Cowpeas","Angola","Production",0,0,0,0
"Cranberries","Angola","Production",0,0,0,0
"Cucumbers","Angola","Production",0,0,0,0
"Currants","Angola","Production",0,0,0,0
"Dates","Angola","Production",0,0,0,0
"Eggplants","Angola","Production",0,0,0,0
"Faba_beans","Angola","Production",0,0,0,0
"Figs","Angola","Production",0,0,0,0
"Fonio","Angola","Production",0,0,0,0
"Fruit_citrus_nes","Angola","Production",232345,247599,266938,248960.666666667
"Fruit_fresh_nes","Angola","Production",48382,32000,39733,40038.3333333333
"Fruit_pome_nes","Angola","Production",0,0,0,0
"Fruit_stone_nes","Angola","Production",0,0,0,0
"Fruit_tropical_fresh_nes","Angola","Production",0,0,0,0
"Garlic","Angola","Production",0,0,0,0
"Ginger","Angola","Production",0,0,0,0
"Gooseberries","Angola","Production",0,0,0,0
"Grain_mixed","Angola","Production",0,0,0,0
"Grapefruit","Angola","Production",0,0,0,0
"Grapes","Angola","Production",0,0,0,0
"Groundnut","Angola","Production",110828,115164,161116,129036
"Hazelnuts","Angola","Production",0,0,0,0
"Hempseed","Angola","Production",0,0,0,0
"Hops","Angola","Production",0,0,0,0
"Kiwi","Angola","Production",0,0,0,0
"Kola_nuts","Angola","Production",0,0,0,0
"Leeks","Angola","Production",0,0,0,0
"Lemons & limes","Angola","Production",0,0,0,0
"Lentils","Angola","Production",0,0,0,0
"Lettuce","Angola","Production",0,0,0,0
"Linseed","Angola","Production",0,0,0,0
"Lupins","Angola","Production",0,0,0,0
"Maize","Angola","Production",970231,1072737,1262222,1101730
"Mangoes_mangosteens_guavas","Angola","Production",0,0,0,0
"Mate","Angola","Production",0,0,0,0
"Melons","Angola","Production",0,0,0,0
"Millets","Angola","Production",27974,40723,61226,43307.6666666667
"Mustard_seed","Angola","Production",0,0,0,0
"Nutmeg_mace_cardamoms","Angola","Production",0,0,0,0
"Nuts_nes","Angola","Production",0,0,0,0
"Oats","Angola","Production",0,0,0,0
"Oilseeds_nes","Angola","Production",0,0,0,0
"Okra","Angola","Production",0,0,0,0
"Olives","Angola","Production",0,0,0,0
"Onions","Angola","Production",20065,23631,24419,22705
"Oranges","Angola","Production",0,0,0,0
"Palm oil","Angola","Production",358000,360000,353000,357000
"Papayas","Angola","Production",0,0,0,0
"Peaches & nectarines","Angola","Production",0,0,0,0
"Pears","Angola","Production",0,0,0,0
"Peas","Angola","Production",0,0,0,0
"Pepper","Angola","Production",0,0,0,0
"Peppermint","Angola","Production",0,0,0,0
"Persimmons","Angola","Production",0,0,0,0
"Pigeonpeas","Angola","Production",0,0,0,0
"Pineapples","Angola","Production",291943,313365,326352,310553.333333333
"Pistachios","Angola","Production",0,0,0,0
"Plums","Angola","Production",0,0,0,0
"Poppy","Angola","Production",0,0,0,0
"Potatoes","Angola","Production",823266,841279,841252,835265.666666667
"Pulses_nes","Angola","Production",0,0,0,0
"Pumpkins & gourds","Angola","Production",0,0,0,0
"Quinces","Angola","Production",0,0,0,0
"Quinoa","Angola","Production",0,0,0,0
"Rapeseed","Angola","Production",0,0,0,0
"Raspberries","Angola","Production",0,0,0,0
"Rice","Angola","Production",14291,17697,23209,18399
"Roots_tubers_nes","Angola","Production",0,0,0,0
"Rye","Angola","Production",0,0,0,0
"Safflower_seed","Angola","Production",0,0,0,0
"Sesame","Angola","Production",2041,3200,3300,2847
"Sheanuts","Angola","Production",0,0,0,0
"Sorghum","Angola","Production",40348,46787,62169,49768
"Soybean","Angola","Production",5936,6087,7743,6588.66666666667
"Spices_nes","Angola","Production",0,0,0,0
"Spinach","Angola","Production",0,0,0,0
"Strawberries","Angola","Production",0,0,0,0
"Sugarcane","Angola","Production",5e+05,5e+05,510000,503333.333333333
"Sunflower","Angola","Production",10789,11000,11500,11096.3333333333
"Sweet potatoes","Angola","Production",982588,986563,1045104,1004751.66666667
"Tangerines_mandarins","Angola","Production",0,0,0,0
"Taro","Angola","Production",0,0,0,0
"Tea","Angola","Production",0,0,0,0
"Tea_nes","Angola","Production",0,0,0,0
"Tomatoes","Angola","Production",16854,15500,16017,16123.6666666667
"Triticale","Angola","Production",0,0,0,0
"Vanilla","Angola","Production",0,0,0,0
"Vegetables_fresh_nes","Angola","Production",276353,325472,336321,312715.333333333
"Vegetables_leguminous_nes","Angola","Production",0,0,0,0
"Vetches","Angola","Production",0,0,0,0
"Walnuts","Angola","Production",0,0,0,0
"Watermelons","Angola","Production",0,0,0,0
"Wheat","Angola","Production",4000,4000,4000,4000
"Yams","Angola","Production",0,0,0,0
"Yautia","Angola","Production",0,0,0,0
"Alfalfa","Antigua and Barbuda","Production",0,0,0,0
"Almonds","Antigua and Barbuda","Production",0,0,0,0
"Anise_badian_fennel_coriander","Antigua and Barbuda","Production",0,0,0,0
"Apples","Antigua and Barbuda","Production",0,0,0,0
"Apricots","Antigua and Barbuda","Production",0,0,0,0
"Areca_nuts","Antigua and Barbuda","Production",0,0,0,0
"Artichokes","Antigua and Barbuda","Production",0,0,0,0
"Asparagus","Antigua and Barbuda","Production",0,0,0,0
