"Country","Region_crops","HA_value","PV_value","PQ_value","HA_percentage","PV_percentage","PQ_percentage"
"Austria","Not_Specified",69141.18,82.72,429145.14,0.0194543009766756,0.00816298335726374,0.00954093188849101
"Austria","Pacific_Region_tropical",12,0,423.67,3.37644818500505e-06,0,9.4192063160659e-06
"Azerbaijan","Africa_Central",1708.67,1.33,3992.67,0.000421879609296821,0.000180667491669599,0.000247896447610136
"Azerbaijan","Africa_East",49071,71.52,201228.33,0.0121158879759136,0.00971529248436819,0.0124938420068576
"Azerbaijan","Africa_Southern",63298.33,127,516436.67,0.0156286905777835,0.0172517078511572,0.0320644621039575
"Azerbaijan","Africa_West",11337.33,38.68,115778.33,0.00279924640268111,0.00525429968254141,0.00718843198091354
"Azerbaijan","America_Caribbean",35155.67,51.1,116294.67,0.00868011981492505,0.006941435206253,0.00722049044098137
"Azerbaijan","America_Central_and_Mexico",72242.33,108.47,285617.33,0.01783701121638,0.0147345885875198,0.0177333767836791
"Azerbaijan","America_North",23647,136.75,161034,0.00583856866512664,0.0185761499893365,0.00999826094930226
"Azerbaijan","America_South_andean",95838.33,949.39,1409532.33,0.0236629877132857,0.128965345801654,0.0875148853771131
"Azerbaijan","America_South_temperate",0,0,0,0,0,0
"Azerbaijan","America_South_tropical",35155.67,51.1,116294.67,0.00868011981492505,0.006941435206253,0.00722049044098137
"Azerbaijan","Asia_Central",1053153.33,1120.47,2795859,0.260029095957702,0.152204890519575,0.173588980336173
"Azerbaijan","Asia_East",98427.67,665.95,1148967.67,0.0243023093772329,0.0904627940431347,0.0713369759614231
"Azerbaijan","Asia_South",38022.67,233.38,463411.67,0.00938799719315138,0.031702390380339,0.0287722518450262
"Azerbaijan","Asia_Southeast",40251,254.67,498884.67,0.00993818358946219,0.0345944286492456,0.0309746954945325
"Azerbaijan","Asia_West",1061712.5,1138.81,2857204.27,0.262142400045387,0.154696200141546,0.177397778586638
"Azerbaijan","Europe_Eastern_north",60070,265.02,491764,0.0148315989222378,0.0360003749190053,0.0305325881333922
"Azerbaijan","Europe_Eastern_south",88675,456,699310.33,0.0218943238626509,0.0619431400010052,0.0434187014163635
"Azerbaijan","Europe_Western_north",60070,265.02,491764,0.0148315989222378,0.0360003749190053,0.0305325881333922
"Azerbaijan","Europe_Western_south",74413.33,329.2,615093.67,0.0183730425341789,0.0447186001937082,0.0381898668661526
"Azerbaijan","Mediterranean_SouthandEast",1011507.33,895.23,2749321.67,0.249746479531607,0.121608239524342,0.170699575805305
"Azerbaijan","Not_Specified",66826.33,165.17,256725.33,0.016499772332364,0.0224367290218553,0.0159395335248192
"Azerbaijan","Pacific_Region_tropical",9553,37.33,111685.67,0.00235868594147058,0.0050709153864858,0.00693432736538656
"Bahamas","Africa_Central",0,NA,0,0,NA,0
"Bahamas","Africa_East",0,NA,0,0,NA,0
"Bahamas","Africa_Southern",69,NA,1381.67,0.00499336027818082,NA,0.00584748049884066
"Bahamas","Africa_West",0,NA,0,0,NA,0
"Bahamas","America_Caribbean",0,NA,0,0,NA,0
"Bahamas","America_Central_and_Mexico",650,NA,6328.67,0.0470389011712686,NA,0.0267840905633023
"Bahamas","America_North",69,NA,1381.67,0.00499336027818082,NA,0.00584748049884066
"Bahamas","America_South_andean",119,NA,5170,0.00861173729135534,NA,0.0218803869078768
"Bahamas","America_South_temperate",0,NA,0,0,NA,0
"Bahamas","America_South_tropical",490,NA,4868.33,0.0354600947291102,NA,0.0206036642157106
"Bahamas","Asia_Central",147.67,NA,1328.67,0.0106865146707096,NA,0.00562317479166126
"Bahamas","Asia_East",848.67,NA,26224,0.0614161603954162,NA,0.110984771039103
"Bahamas","Asia_South",3315,NA,72289,0.23989839597347,NA,0.305940288043232
"Bahamas","Asia_Southeast",3489,NA,88299.67,0.252490347979317,NA,0.37370037590674
"Bahamas","Asia_West",147.67,NA,1328.67,0.0106865146707096,NA,0.00562317479166126
"Bahamas","Europe_Eastern_north",4.67,NA,64,0.000337956413030499,NA,0.000270859721877005
"Bahamas","Europe_Eastern_south",33,NA,824.33,0.00238812882869518,NA,0.00348871553960737
"Bahamas","Europe_Western_north",4.67,NA,64,0.000337956413030499,NA,0.000270859721877005
"Bahamas","Europe_Western_south",33,NA,824.33,0.00238812882869518,NA,0.00348871553960737
"Bahamas","Mediterranean_SouthandEast",33,NA,824.33,0.00238812882869518,NA,0.00348871553960737
"Bahamas","Not_Specified",4172.67,NA,23573.33,0.301965864231258,NA,0.0997666501174198
"Bahamas","Pacific_Region_tropical",192.33,NA,1510,0.0139184490188771,NA,0.0063905965630356
"Bangladesh","Africa_Central",11470359.33,9427.88,49610979,0.1790888474687,0.173620027328744,0.172075898492212
"Bangladesh","Africa_East",111121,24.54,336779.67,0.00173495278107992,0.000451918720926378,0.0011681217641192
"Bangladesh","Africa_Southern",100061.33,56.58,640716.67,0.00156227610228539,0.00104195441035104,0.00222232858313859
"Bangladesh","Africa_West",11517507,9427.88,49829705.33,0.179824972784239,0.173620027328744,0.172834551728196
"Bangladesh","America_Caribbean",107620.33,260.34,204199.67,0.00168029617114891,0.00479431621051236,0.000708267451990077
"Bangladesh","America_Central_and_Mexico",546775.33,884.84,2918464.67,0.00853690463017241,0.0162948557874693,0.0101227075222206
"Bangladesh","America_North",38865,56.58,349152,0.000606806452755743,0.00104195441035104,0.00121103524504834
"Bangladesh","America_South_andean",530634,1025.94,7505445.67,0.00828488705137247,0.018893296354817,0.0260326712611282
"Bangladesh","America_South_temperate",0,0,0,0,0,0
"Bangladesh","America_South_tropical",368789,755.21,2179321.67,0.00575797105121157,0.013907642103945,0.007558986781309
