"Region","Region_crops","Average","Percentage","Element"
"America_South_andean","Mediterranean_SouthandEast",1665099.55,0.117965835129561,"Area harvested"
"America_South_andean","Asia_Central",1455092.85,0.103087676194077,"Area harvested"
"America_South_andean","America_South_andean",1200590.54,0.0850571761308509,"Area harvested"
"America_South_andean","Europe_Eastern_south",631507.88,0.0447398802402527,"Area harvested"
"America_South_andean","Europe_Western_south",524503.79,0.0371590561152755,"Area harvested"
"America_South_andean","America_North",478365.94,0.033890368662725,"Area harvested"
"America_South_andean","Africa_Southern",416367.71,0.0294980348959513,"Area harvested"
"America_South_andean","Not_Specified",369624.65,0.026186470665806,"Area harvested"
"America_South_andean","Europe_Eastern_north",247971.24,0.0175677991233094,"Area harvested"
"America_South_andean","Europe_Western_north",247971.24,0.0175677991233094,"Area harvested"
"America_South_andean","America_Caribbean",237547.21,0.0168292970893826,"Area harvested"
"America_South_andean","America_South_temperate",101192.24,0.00716907712829,"Area harvested"
"America_South_andean","Pacific_Region_tropical",29461.86,0.00208725833801962,"Area harvested"
"America_South_temperate","Asia_East",19947291.93,0.535084212179569,"Area harvested"
"America_South_temperate","Asia_West",8502729.71,0.228084917201649,"Area harvested"
"America_South_temperate","Asia_Central",7885395.24,0.211524978655081,"Area harvested"
"America_South_temperate","Mediterranean_SouthandEast",6690283.01,0.179466206552089,"Area harvested"
"America_South_temperate","America_Central_and_Mexico",4766973.87,0.12787362147507,"Area harvested"
"America_South_temperate","America_North",2173631.7,0.0583074639828082,"Area harvested"
"America_South_temperate","Africa_East",1982666.73,0.0531848467932204,"Area harvested"
"America_South_temperate","Africa_Southern",1880574.3,0.0504462270513652,"Area harvested"
"America_South_temperate","Africa_West",1809084.2,0.0485285119063029,"Area harvested"
"America_South_temperate","Africa_Central",1795520,0.0481646535291199,"Area harvested"
"America_South_temperate","Asia_South",1085801.53,0.029126522953706,"Area harvested"
"America_South_temperate","America_South_tropical",968736.6,0.0259862673208751,"Area harvested"
"America_South_temperate","Asia_Southeast",919319.53,0.0246606591098976,"Area harvested"
"America_South_temperate","Europe_Eastern_south",706189.68,0.0189434711186954,"Area harvested"
"America_South_temperate","Europe_Eastern_north",608565.57,0.0163247136366074,"Area harvested"
"America_South_temperate","Europe_Western_north",608565.57,0.0163247136366074,"Area harvested"
