"Element","Item","Average","R_origin","R_recipients"
"Area harvested","Cottonseed oil",1097944.33333333,"Africa_East","Africa_Southern"
"Area harvested","Cowpeas",510458.333333333,"Africa_East","Africa_Southern"
"Area harvested","Sesame",457979,"Africa_East","Africa_Southern"
"Area harvested","NA",NA,"Africa_Indian_Ocean_Islands","Africa_Southern"
"Area harvested","Sorghum",2166071.66666667,"Africa_Southern","Africa_Southern"
"Area harvested","Millets",1270299.33333333,"Africa_Southern","Africa_Southern"
"Area harvested","Cottonseed oil",1097944.33333333,"Africa_Southern","Africa_Southern"
"Area harvested","Cowpeas",510458.333333333,"Africa_Southern","Africa_Southern"
"Area harvested","Pumpkins & gourds",12054.3333333333,"Africa_Southern","Africa_Southern"
"Area harvested","Sorghum",2166071.66666667,"Africa_West","Africa_Southern"
"Area harvested","Rice",1351614.66666667,"Africa_West","Africa_Southern"
"Area harvested","Millets",1270299.33333333,"Africa_West","Africa_Southern"
"Area harvested","Cowpeas",510458.333333333,"Africa_West","Africa_Southern"
"Area harvested","Coffee",245158,"Africa_West","Africa_Southern"
"Area harvested","Cottonseed oil",1097944.33333333,"America_Caribbean","Africa_Southern"
"Area harvested","Chillies & peppers",29268,"America_Caribbean","Africa_Southern"
"Area harvested","Vanilla",111.666666666667,"America_Caribbean","Africa_Southern"
"Area harvested","Maize",13429739.3333333,"America_Central_and_Mexico","Africa_Southern"
"Area harvested","Cassava",3544802.33333333,"America_Central_and_Mexico","Africa_Southern"
"Area harvested","Beans",2705802.33333333,"America_Central_and_Mexico","Africa_Southern"
"Area harvested","Cottonseed oil",1097944.33333333,"America_Central_and_Mexico","Africa_Southern"
"Area harvested","Sweet potatoes",988311.333333334,"America_Central_and_Mexico","Africa_Southern"
"Area harvested","Sunflower",1242040,"America_North","Africa_Southern"
"Area harvested","Grapes",122597,"America_North","Africa_Southern"
"Area harvested","Pumpkins & gourds",12054.3333333333,"America_North","Africa_Southern"
"Area harvested","Strawberries",613.666666666666,"America_North","Africa_Southern"
"Area harvested","Raspberries",50.3333333333333,"America_North","Africa_Southern"
"Area harvested","Beans",2705802.33333333,"America_South_andean","Africa_Southern"
"Area harvested","Potatoes",598359.333333334,"America_South_andean","Africa_Southern"
"Area harvested","Tomatoes",76705.6666666666,"America_South_andean","Africa_Southern"
"Area harvested","Lupins",11325.3333333333,"America_South_andean","Africa_Southern"
"Area harvested","Strawberries",613.666666666666,"America_South_temperate","Africa_Southern"
"Area harvested","Cassava",3544802.33333333,"America_South_tropical","Africa_Southern"
"Area harvested","Groundnut",1948208.66666667,"America_South_tropical","Africa_Southern"
"Area harvested","Cottonseed oil",1097944.33333333,"America_South_tropical","Africa_Southern"
"Area harvested","Sweet potatoes",988311.333333334,"America_South_tropical","Africa_Southern"
"Area harvested","Cashew",357029,"America_South_tropical","Africa_Southern"
"Area harvested","Wheat",784293,"Asia_Central","Africa_Southern"
"Area harvested","Alfalfa",183333.333333333,"Asia_Central","Africa_Southern"
"Area harvested","Barley",103750,"Asia_Central","Africa_Southern"
"Area harvested","Onions",82378.0000000001,"Asia_Central","Africa_Southern"
"Area harvested","Safflower_seed",23618.3333333333,"Asia_Central","Africa_Southern"
"Area harvested","Rice",1351614.66666667,"Asia_East","Africa_Southern"
"Area harvested","Millets",1270299.33333333,"Asia_East","Africa_Southern"
"Area harvested","Soybean",533648.666666667,"Asia_East","Africa_Southern"
"Area harvested","Grapes",122597,"Asia_East","Africa_Southern"
"Area harvested","Oranges",69629.3333333333,"Asia_East","Africa_Southern"
"Area harvested","Rice",1351614.66666667,"Asia_South","Africa_Southern"
"Area harvested","Millets",1270299.33333333,"Asia_South","Africa_Southern"
"Area harvested","Bananas & plantains",989331.666666667,"Asia_South","Africa_Southern"
"Area harvested","Coconuts",752808.666666667,"Asia_South","Africa_Southern"
"Area harvested","Sugarcane",507116,"Asia_South","Africa_Southern"
"Area harvested","Rice",1351614.66666667,"Asia_Southeast","Africa_Southern"
"Area harvested","Millets",1270299.33333333,"Asia_Southeast","Africa_Southern"
