"Region","Item","Element","Average"
"Africa_Central","Peaches & nectarines","Production",864.666666666667
"Africa_Central","Peaches & nectarines","Gross Production Value (current million US$)",0
"Africa_Central","Pears","Area harvested",0
"Africa_Central","Pears","Production",0
"Africa_Central","Pears","Gross Production Value (current million US$)",0
"Africa_Central","Peas","Area harvested",8047.66666666667
"Africa_Central","Peas","Production",6040.33333333333
"Africa_Central","Peas","Gross Production Value (current million US$)",0
"Africa_Central","Pepper","Area harvested",261.333333333333
"Africa_Central","Pepper","Production",92
"Africa_Central","Pepper","Gross Production Value (current million US$)",0
"Africa_Central","Peppermint","Area harvested",0
"Africa_Central","Peppermint","Production",0
"Africa_Central","Peppermint","Gross Production Value (current million US$)",0
"Africa_Central","Persimmons","Area harvested",0
"Africa_Central","Persimmons","Production",0
"Africa_Central","Persimmons","Gross Production Value (current million US$)",0
"Africa_Central","Pigeonpeas","Area harvested",0
"Africa_Central","Pigeonpeas","Production",0
"Africa_Central","Pigeonpeas","Gross Production Value (current million US$)",0
"Africa_Central","Pineapples","Area harvested",35435.3333333333
"Africa_Central","Pineapples","Production",488081.666666666
"Africa_Central","Pineapples","Gross Production Value (current million US$)",312.08
"Africa_Central","Pistachios","Area harvested",0
"Africa_Central","Pistachios","Production",0
"Africa_Central","Pistachios","Gross Production Value (current million US$)",0
"Africa_Central","Plums","Area harvested",108.666666666667
"Africa_Central","Plums","Production",510.666666666667
"Africa_Central","Plums","Gross Production Value (current million US$)",0
"Africa_Central","Poppy","Area harvested",0
"Africa_Central","Poppy","Production",0
"Africa_Central","Poppy","Gross Production Value (current million US$)",0
"Africa_Central","Potatoes","Area harvested",163484.333333333
"Africa_Central","Potatoes","Production",1025578
"Africa_Central","Potatoes","Gross Production Value (current million US$)",485.203333333333
"Africa_Central","Pulses_nes","Area harvested",36162
"Africa_Central","Pulses_nes","Production",37695
"Africa_Central","Pulses_nes","Gross Production Value (current million US$)",0
"Africa_Central","Pumpkins & gourds","Area harvested",154298
"Africa_Central","Pumpkins & gourds","Production",175043.666666667
"Africa_Central","Pumpkins & gourds","Gross Production Value (current million US$)",0
"Africa_Central","Quinces","Area harvested",0
"Africa_Central","Quinces","Production",0
"Africa_Central","Quinces","Gross Production Value (current million US$)",0
"Africa_Central","Quinoa","Area harvested",0
"Africa_Central","Quinoa","Production",0
"Africa_Central","Quinoa","Gross Production Value (current million US$)",0
"Africa_Central","Rapeseed","Area harvested",0
"Africa_Central","Rapeseed","Production",0
"Africa_Central","Rapeseed","Gross Production Value (current million US$)",0
"Africa_Central","Raspberries","Area harvested",0
"Africa_Central","Raspberries","Production",0
"Africa_Central","Raspberries","Gross Production Value (current million US$)",0
"Africa_Central","Rice","Area harvested",164997.333333333
"Africa_Central","Rice","Production",214876.666666667
"Africa_Central","Rice","Gross Production Value (current million US$)",53.3366666666666
"Africa_Central","Roots_tubers_nes","Area harvested",11285.3333333333
"Africa_Central","Roots_tubers_nes","Production",93835.9433333334
"Africa_Central","Roots_tubers_nes","Gross Production Value (current million US$)",13.4
"Africa_Central","Rye","Area harvested",0
"Africa_Central","Rye","Production",0
"Africa_Central","Rye","Gross Production Value (current million US$)",0
"Africa_Central","Safflower_seed","Area harvested",0
"Africa_Central","Safflower_seed","Production",0
"Africa_Central","Safflower_seed","Gross Production Value (current million US$)",0
"Africa_Central","Sesame","Area harvested",109257
"Africa_Central","Sesame","Production",62247.6666666667
"Africa_Central","Sesame","Gross Production Value (current million US$)",0
"Africa_Central","Sheanuts","Area harvested",0
"Africa_Central","Sheanuts","Production",0
"Africa_Central","Sheanuts","Gross Production Value (current million US$)",0
"Africa_Central","Sorghum","Area harvested",973861.666666666
"Africa_Central","Sorghum","Production",1200587.66666667
"Africa_Central","Sorghum","Gross Production Value (current million US$)",339.096666666667
"Africa_Central","Soybean","Area harvested",32477.3333333333
"Africa_Central","Soybean","Production",21996.3333333333
"Africa_Central","Soybean","Gross Production Value (current million US$)",6.62
"Africa_Central","Spices_nes","Area harvested",0
"Africa_Central","Spices_nes","Production",0
"Africa_Central","Spices_nes","Gross Production Value (current million US$)",0
"Africa_Central","Spinach","Area harvested",140.333333333333
"Africa_Central","Spinach","Production",971.333333333333
"Africa_Central","Spinach","Gross Production Value (current million US$)",1.71
"Africa_Central","Strawberries","Area harvested",0
"Africa_Central","Strawberries","Production",0
"Africa_Central","Strawberries","Gross Production Value (current million US$)",0
"Africa_Central","Sugarcane","Area harvested",191833.333333333
"Africa_Central","Sugarcane","Production",2932666.66666667
"Africa_Central","Sugarcane","Gross Production Value (current million US$)",152.88
"Africa_Central","Sunflower","Area harvested",15840.3333333333
"Africa_Central","Sunflower","Production",11096.3333333333
"Africa_Central","Sunflower","Gross Production Value (current million US$)",0
"Africa_Central","Sweet potatoes","Area harvested",209386.333333333
"Africa_Central","Sweet potatoes","Production",1303076.66666667
"Africa_Central","Sweet potatoes","Gross Production Value (current million US$)",323.383333333333
"Africa_Central","Tangerines_mandarins","Area harvested",633.666666666667
"Africa_Central","Tangerines_mandarins","Production",2668
"Africa_Central","Tangerines_mandarins","Gross Production Value (current million US$)",1.50666666666667
"Africa_Central","Taro","Area harvested",234000
"Africa_Central","Taro","Production",1686003.70333333
"Africa_Central","Taro","Gross Production Value (current million US$)",500.04
"Africa_Central","Tea","Area harvested",1825.33333333333
"Africa_Central","Tea","Production",4799
"Africa_Central","Tea","Gross Production Value (current million US$)",0
"Africa_Central","Tea_nes","Area harvested",0
"Africa_Central","Tea_nes","Production",0
"Africa_Central","Tea_nes","Gross Production Value (current million US$)",0
"Africa_Central","Tomatoes","Area harvested",114733.666666666
"Africa_Central","Tomatoes","Production",791985
"Africa_Central","Tomatoes","Gross Production Value (current million US$)",214.113333333333
"Africa_Central","Triticale","Area harvested",0
"Africa_Central","Triticale","Production",0
"Africa_Central","Triticale","Gross Production Value (current million US$)",0
"Africa_Central","Vanilla","Area harvested",0
"Africa_Central","Vanilla","Production",0
"Africa_Central","Vanilla","Gross Production Value (current million US$)",0
"Africa_Central","Vegetables_fresh_nes","Area harvested",159671
"Africa_Central","Vegetables_fresh_nes","Production",1203962.33333333
"Africa_Central","Vegetables_fresh_nes","Gross Production Value (current million US$)",293.776666666667
"Africa_Central","Vegetables_leguminous_nes","Area harvested",0
"Africa_Central","Vegetables_leguminous_nes","Production",0
"Africa_Central","Vegetables_leguminous_nes","Gross Production Value (current million US$)",0
"Africa_Central","Vetches","Area harvested",0
"Africa_Central","Vetches","Production",0
"Africa_Central","Vetches","Gross Production Value (current million US$)",0
"Africa_Central","Walnuts","Area harvested",0
"Africa_Central","Walnuts","Production",0
"Africa_Central","Walnuts","Gross Production Value (current million US$)",0
"Africa_Central","Watermelons","Area harvested",1899.33333333333
"Africa_Central","Watermelons","Production",43708.6666666667
"Africa_Central","Watermelons","Gross Production Value (current million US$)",0
"Africa_Central","Wheat","Area harvested",4472
"Africa_Central","Wheat","Production",4879
"Africa_Central","Wheat","Gross Production Value (current million US$)",0
"Africa_Central","Yams","Area harvested",130213
"Africa_Central","Yams","Production",1136163
"Africa_Central","Yams","Gross Production Value (current million US$)",192.46
"Africa_Central","Yautia","Area harvested",0
"Africa_Central","Yautia","Production",0
"Africa_Central","Yautia","Gross Production Value (current million US$)",0
"Africa_East","Alfalfa","Area harvested",0
"Africa_East","Alfalfa","Production",0
"Africa_East","Alfalfa","Gross Production Value (current million US$)",0
"Africa_East","Almonds","Area harvested",0
"Africa_East","Almonds","Production",0
"Africa_East","Almonds","Gross Production Value (current million US$)",0
"Africa_East","Anise_badian_fennel_coriander","Area harvested",2538.33333333334
"Africa_East","Anise_badian_fennel_coriander","Production",1836.33333333333
"Africa_East","Anise_badian_fennel_coriander","Gross Production Value (current million US$)",0
"Africa_East","Apples","Area harvested",122.333333333333
"Africa_East","Apples","Production",1155.33333333333
"Africa_East","Apples","Gross Production Value (current million US$)",0.423333333333333
"Africa_East","Apricots","Area harvested",14.3333333333333
"Africa_East","Apricots","Production",74.3333333333333
"Africa_East","Apricots","Gross Production Value (current million US$)",0
"Africa_East","Areca_nuts","Area harvested",0
"Africa_East","Areca_nuts","Production",99.6666666666667
"Africa_East","Areca_nuts","Gross Production Value (current million US$)",0
"Africa_East","Artichokes","Area harvested",5
"Africa_East","Artichokes","Production",24.3333333333333
"Africa_East","Artichokes","Gross Production Value (current million US$)",0
"Africa_East","Asparagus","Area harvested",45.3333333333333
"Africa_East","Asparagus","Production",199
"Africa_East","Asparagus","Gross Production Value (current million US$)",0.0266666666666667
"Africa_East","Avocados","Area harvested",33685.3333333334
"Africa_East","Avocados","Production",377055.333333334
"Africa_East","Avocados","Gross Production Value (current million US$)",85.1566666666667
"Africa_East","Bambara_beans","Area harvested",0
"Africa_East","Bambara_beans","Production",0
"Africa_East","Bambara_beans","Gross Production Value (current million US$)",0
"Africa_East","Bananas & plantains","Area harvested",2315133.66666667
"Africa_East","Bananas & plantains","Production",15556042.6666666
"Africa_East","Bananas & plantains","Gross Production Value (current million US$)",2303.77666666667
"Africa_East","Barley","Area harvested",1060474.33333333
"Africa_East","Barley","Production",1736893
"Africa_East","Barley","Gross Production Value (current million US$)",513.636666666666
"Africa_East","Beans","Area harvested",2548529.98666667
"Africa_East","Beans","Production",1717730.37
"Africa_East","Beans","Gross Production Value (current million US$)",697.796666666667
"Africa_East","Beet_sugar","Area harvested",0
"Africa_East","Beet_sugar","Production",0
"Africa_East","Beet_sugar","Gross Production Value (current million US$)",0
"Africa_East","Berries_nes","Area harvested",206
"Africa_East","Berries_nes","Production",665
"Africa_East","Berries_nes","Gross Production Value (current million US$)",0
"Africa_East","Blueberries","Area harvested",0
"Africa_East","Blueberries","Production",0
"Africa_East","Blueberries","Gross Production Value (current million US$)",0
"Africa_East","Brazil_nuts","Area harvested",0
"Africa_East","Brazil_nuts","Production",0
"Africa_East","Brazil_nuts","Gross Production Value (current million US$)",0
"Africa_East","Buckwheat","Area harvested",0
"Africa_East","Buckwheat","Production",0
"Africa_East","Buckwheat","Gross Production Value (current million US$)",0
"Africa_East","Cabbages","Area harvested",63551.3333333333
"Africa_East","Cabbages","Production",1100485
"Africa_East","Cabbages","Gross Production Value (current million US$)",193.956666666667
"Africa_East","Carob","Area harvested",0
"Africa_East","Carob","Production",0
"Africa_East","Carob","Gross Production Value (current million US$)",0
"Africa_East","Carrots & turnips","Area harvested",9709
"Africa_East","Carrots & turnips","Production",124732
"Africa_East","Carrots & turnips","Gross Production Value (current million US$)",30.71
"Africa_East","Cashew","Area harvested",30196.3333333333
"Africa_East","Cashew","Production",18726
"Africa_East","Cashew","Gross Production Value (current million US$)",6.49333333333333
"Africa_East","Cassava","Area harvested",693851.333333333
"Africa_East","Cassava","Production",8103541
"Africa_East","Cassava","Gross Production Value (current million US$)",836.333333333333
"Africa_East","Castor_oil","Area harvested",25184.6666666667
"Africa_East","Castor_oil","Production",12333.3333333333
"Africa_East","Castor_oil","Gross Production Value (current million US$)",2.41333333333333
"Africa_East","Cereals_nes","Area harvested",2693654
"Africa_East","Cereals_nes","Production",3386804
"Africa_East","Cereals_nes","Gross Production Value (current million US$)",0
"Africa_East","Cherries","Area harvested",0
"Africa_East","Cherries","Production",0
"Africa_East","Cherries","Gross Production Value (current million US$)",0
"Africa_East","Chestnut","Area harvested",0
"Africa_East","Chestnut","Production",0
"Africa_East","Chestnut","Gross Production Value (current million US$)",0
"Africa_East","Chickpeas","Area harvested",233003.333333333
"Africa_East","Chickpeas","Production",352968.333333334
"Africa_East","Chickpeas","Gross Production Value (current million US$)",149.863333333333
"Africa_East","Chicory_roots","Area harvested",0
"Africa_East","Chicory_roots","Production",0
"Africa_East","Chicory_roots","Gross Production Value (current million US$)",0
"Africa_East","Chillies & peppers","Area harvested",491949
"Africa_East","Chillies & peppers","Production",388691
"Africa_East","Chillies & peppers","Gross Production Value (current million US$)",304.333333333333
"Africa_East","Cinnamon","Area harvested",0
"Africa_East","Cinnamon","Production",0
"Africa_East","Cinnamon","Gross Production Value (current million US$)",0
"Africa_East","Clover","Area harvested",0
"Africa_East","Clover","Production",0
"Africa_East","Clover","Gross Production Value (current million US$)",0
"Africa_East","Cloves","Area harvested",2383.33333333333
"Africa_East","Cloves","Production",2066.66666666667
"Africa_East","Cloves","Gross Production Value (current million US$)",0
"Africa_East","Cocoa beans","Area harvested",47448.3333333333
"Africa_East","Cocoa beans","Production",16000
"Africa_East","Cocoa beans","Gross Production Value (current million US$)",0
"Africa_East","Coconuts","Area harvested",52778.3333333333
"Africa_East","Coconuts","Production",85269.3333333333
"Africa_East","Coconuts","Gross Production Value (current million US$)",18.5266666666667
"Africa_East","Coffee","Area harvested",966561.666666666
"Africa_East","Coffee","Production",586614.096666667
"Africa_East","Coffee","Gross Production Value (current million US$)",728.689999999999
"Africa_East","Cottonseed oil","Area harvested",304174.333333333
"Africa_East","Cottonseed oil","Production",432947.666666666
"Africa_East","Cottonseed oil","Gross Production Value (current million US$)",174.033333333333
"Africa_East","Cowpeas","Area harvested",392404.999999999
"Africa_East","Cowpeas","Production",187170
"Africa_East","Cowpeas","Gross Production Value (current million US$)",55.0866666666667
"Africa_East","Cranberries","Area harvested",0
"Africa_East","Cranberries","Production",0
"Africa_East","Cranberries","Gross Production Value (current million US$)",0
"Africa_East","Cucumbers","Area harvested",2829.33333333333
"Africa_East","Cucumbers","Production",31615.6666666666
"Africa_East","Cucumbers","Gross Production Value (current million US$)",38.4866666666666
"Africa_East","Currants","Area harvested",0
"Africa_East","Currants","Production",0
"Africa_East","Currants","Gross Production Value (current million US$)",0
"Africa_East","Dates","Area harvested",39167.3333333333
"Africa_East","Dates","Production",442416.666666667
"Africa_East","Dates","Gross Production Value (current million US$)",720.85
"Africa_East","Eggplants","Area harvested",9005.33333333333
"Africa_East","Eggplants","Production",141634.666666667
"Africa_East","Eggplants","Gross Production Value (current million US$)",231.58
"Africa_East","Faba_beans","Area harvested",546438
"Africa_East","Faba_beans","Production",814326.333333334
"Africa_East","Faba_beans","Gross Production Value (current million US$)",481.27
"Africa_East","Figs","Area harvested",0
"Africa_East","Figs","Production",0
"Africa_East","Figs","Gross Production Value (current million US$)",0
"Africa_East","Fonio","Area harvested",0
"Africa_East","Fonio","Production",0
"Africa_East","Fonio","Gross Production Value (current million US$)",0
"Africa_East","Fruit_citrus_nes","Area harvested",12669.3333333334
"Africa_East","Fruit_citrus_nes","Production",111068
"Africa_East","Fruit_citrus_nes","Gross Production Value (current million US$)",0.443333333333333
