Country,Type,Element,Unit,Y2009,Y2010,Y2011,Yaverage
The former Yugoslav Republic of Macedonia,C,Total Population - Both sexes,1000,2101,2102,2104,2102.333333
Timor-Leste,C,Total Population - Both sexes,1000,1064,1079,1096,1079.666667
Togo,C,Total Population - Both sexes,1000,6144,6306,6472,6307.333333
Trinidad and Tobago,C,Total Population - Both sexes,1000,1323,1328,1333,1328
Tunisia,C,Total Population - Both sexes,1000,10511,10632,10753,10632
Turkey,C,Total Population - Both sexes,1000,71241,72138,73059,72146
Turkmenistan,C,Total Population - Both sexes,1000,4979,5042,5107,5042.666667
Uganda,C,Total Population - Both sexes,1000,32864,33987,35148,33999.66667
Ukraine,C,Total Population - Both sexes,1000,46267,46050,45803,46040
United Arab Emirates,C,Total Population - Both sexes,1000,7718,8442,8925,8361.666667
United Kingdom,C,Total Population - Both sexes,1000,61943,62310,62672,62308.33333
United Republic of Tanzania,C,Total Population - Both sexes,1000,43640,44973,46355,44989.33333
United States of America,C,Total Population - Both sexes,1000,309492,312247,314912,312217
Uruguay,C,Total Population - Both sexes,1000,3360,3372,3383,3371.666667
Uzbekistan,C,Total Population - Both sexes,1000,27393,27769,28152,27771.33333
Vanuatu,C,Total Population - Both sexes,1000,231,236,242,236.3333333
Venezuela (Bolivarian Republic of),C,Total Population - Both sexes,1000,28583,29043,29501,29042.33333
Viet Nam,C,Total Population - Both sexes,1000,88200,89047,89914,89053.66667
Yemen,C,Total Population - Both sexes,1000,22230,22763,23304,22765.66667
Zambia,C,Total Population - Both sexes,1000,12825,13217,13634,13225.33333
Zimbabwe,C,Total Population - Both sexes,1000,12889,13077,13359,13108.33333
