"Region_crops","Country","Element","Y2009","Y2010","Y2011"
"Africa_Central","Japan","Gross Production Value (current million US$)",24879.02,25377.3,25589.42
"Africa_Central","Japan","Production",11684000,11605000,11439200
"Africa_Central","Jordan","Area harvested",773,2000,693
"Africa_Central","Jordan","Gross Production Value (current million US$)",0.82,2.19,1.25
"Africa_Central","Jordan","Production",11606,25476,17496
"Africa_Central","Kazakhstan","Area harvested",86740,94200,93400
"Africa_Central","Kazakhstan","Gross Production Value (current million US$)",95.21,117.93,81.9
"Africa_Central","Kazakhstan","Production",307020,373240,346890
"Africa_Central","Kenya","Area harvested",479303,574236,640136
"Africa_Central","Kenya","Gross Production Value (current million US$)",284.79,400.26,490.66
"Africa_Central","Kenya","Production",255354,363876,388900
"Africa_Central","Kiribati","Area harvested",0,0,0
"Africa_Central","Kiribati","Production",0,0,0
"Africa_Central","Kuwait","Area harvested",0,0,0
"Africa_Central","Kuwait","Production",0,0,0
"Africa_Central","Kyrgyzstan","Area harvested",6328,6414,6363
"Africa_Central","Kyrgyzstan","Gross Production Value (current million US$)",31.2,25.21,26.23
"Africa_Central","Kyrgyzstan","Production",20760,20891,19462
"Africa_Central","Lao People's Democratic Republic","Area harvested",870991,905709,872025
"Africa_Central","Lao People's Democratic Republic","Gross Production Value (current million US$)",805.58,906.8,908.4
"Africa_Central","Lao People's Democratic Republic","Production",3190835,3116930,3117770
"Africa_Central","Latvia","Area harvested",0,0,0
"Africa_Central","Latvia","Gross Production Value (current million US$)",0,0,0
"Africa_Central","Latvia","Production",0,0,0
"Africa_Central","Lebanon","Area harvested",290,228,230
"Africa_Central","Lebanon","Gross Production Value (current million US$)",0.11,0.1,0.11
"Africa_Central","Lebanon","Production",580,440,450
"Africa_Central","Lesotho","Area harvested",17585,33146,18864
"Africa_Central","Lesotho","Production",10151,23830,9606
"Africa_Central","Liberia","Area harvested",272580,270830,271800
"Africa_Central","Liberia","Production",521800,523690,525652
"Africa_Central","Libya","Area harvested",0,0,0
"Africa_Central","Libya","Production",0,0,0
"Africa_Central","Lithuania","Area harvested",0,0,0
"Africa_Central","Lithuania","Gross Production Value (current million US$)",0,0,0
"Africa_Central","Lithuania","Production",0,0,0
"Africa_Central","Luxembourg","Area harvested",0,0,0
"Africa_Central","Luxembourg","Gross Production Value (current million US$)",0,0,0
"Africa_Central","Luxembourg","Production",0,0,0
"Africa_Central","Madagascar","Area harvested",1683965,1755189,1610100
"Africa_Central","Madagascar","Gross Production Value (current million US$)",1446.63,1349.54,1381.11
"Africa_Central","Madagascar","Production",4637898,4852094,4401304
"Africa_Central","Malawi","Area harvested",197394,216792,224128
"Africa_Central","Malawi","Gross Production Value (current million US$)",214.74,190.47,214.39
"Africa_Central","Malawi","Production",229987,194566,227006
"Africa_Central","Malaysia","Area harvested",4704928,4827934,5032116
"Africa_Central","Malaysia","Gross Production Value (current million US$)",13458.2,19362.98,28485.44
"Africa_Central","Malaysia","Production",112421312,108731315,120766172
"Africa_Central","Maldives","Area harvested",44,45,43
"Africa_Central","Maldives","Gross Production Value (current million US$)",0,0,0
"Africa_Central","Maldives","Production",50,46,48
"Africa_Central","Mali","Area harvested",2115271,2006070,2845820
"Africa_Central","Mali","Gross Production Value (current million US$)",1022.56,1202.18,1300.32
"Africa_Central","Mali","Production",3781885,3885067,3272992
"Africa_Central","Malta","Area harvested",0,0,0
"Africa_Central","Malta","Gross Production Value (current million US$)",0,0,0
"Africa_Central","Malta","Production",0,0,0
"Africa_Central","Mauritania","Area harvested",232677,291104,152282
"Africa_Central","Mauritania","Production",157283,261081,196099
"Africa_Central","Mauritius","Area harvested",0,0,120
"Africa_Central","Mauritius","Gross Production Value (current million US$)",0,0,0
"Africa_Central","Mauritius","Production",0,0,316
"Africa_Central","Mexico","Area harvested",2762089,2793915,2666572
"Africa_Central","Mexico","Gross Production Value (current million US$)",1309.09,1622.26,2200.05
"Africa_Central","Mexico","Production",12167933,12550861,11380770
"Africa_Central","Mongolia","Area harvested",0,0,0
"Africa_Central","Mongolia","Gross Production Value (current million US$)",0,0,0
"Africa_Central","Mongolia","Production",0,0,0
