"Region","Region_crops","Element","Y2009","Y2010","Y2011","Average"
"Africa_Central","Europe_Western_south","Area harvested",13195,11623,12383,12400.3333333333
"Africa_Central","Europe_Western_south","Gross Production Value (current million US$)",7.09,7.73,9.85,8.22333333333333
"Africa_Central","Europe_Western_south","Production",68485,66050,68156,67563.6666666667
"Africa_Central","Mediterranean_SouthandEast","Area harvested",40989,31209,32855,35017.6666666667
"Africa_Central","Mediterranean_SouthandEast","Gross Production Value (current million US$)",7.09,7.73,9.85,8.22333333333333
"Africa_Central","Mediterranean_SouthandEast","Production",77206,75400,77652,76752.6666666667
"Africa_Central","Not_Specified","Area harvested",331378,298657,297107,309047.333333333
"Africa_Central","Not_Specified","Gross Production Value (current million US$)",174.14,299.84,206.94,226.973333333333
"Africa_Central","Not_Specified","Production",1856615,1763501,1871436.83,1830517.61
"Africa_Central","Pacific_Region_tropical","Area harvested",408100,422076,435431,421869
"Africa_Central","Pacific_Region_tropical","Gross Production Value (current million US$)",390.81,489.23,623.92,501.32
"Africa_Central","Pacific_Region_tropical","Production",1817548,1844463,1929011.11,1863674.03666667
"Africa_East","Africa_Central","Area harvested",10866906,10245292,11754865.28,10955687.76
"Africa_East","Africa_Central","Gross Production Value (current million US$)",4063.93,4950.82,2216.59,3743.78
"Africa_East","Africa_Central","Production",9078435.89,8790953,10726413.4,9531934.09666667
"Africa_East","Africa_East","Area harvested",16364807,15412644,17730320.28,16502590.4266667
"Africa_East","Africa_East","Gross Production Value (current million US$)",5524.93,7100.87,2653.53,5093.11
"Africa_East","Africa_East","Production",11879299.89,11466776,13767214.4,12371096.7633333
"Africa_East","Africa_Southern","Area harvested",13243648,12154937,14238611.28,13212398.76
"Africa_East","Africa_Southern","Gross Production Value (current million US$)",4391.32,5569.01,1436.28,3798.87
"Africa_East","Africa_Southern","Production",10957713,10235437,12508874,11234008
"Africa_East","Africa_West","Area harvested",14040207,13079850,15151605.18,14090554.06
"Africa_East","Africa_West","Gross Production Value (current million US$)",4925.64,6273.76,2438.42,4545.94
"Africa_East","Africa_West","Production",11200622.89,10835733,13046652.21,11694336.0333333
"Africa_East","America_Caribbean","Area harvested",888097,697822,803897,796605.333333333
"Africa_East","America_Caribbean","Gross Production Value (current million US$)",387.57,460.08,394.56,414.07
"Africa_East","America_Caribbean","Production",852325,717092,896220,821879
"Africa_East","America_Central_and_Mexico","Area harvested",10075573,10109539,10875158.85,10353423.6166667
"Africa_East","America_Central_and_Mexico","Gross Production Value (current million US$)",8904.11,13481.71,4714.11,9033.31
"Africa_East","America_Central_and_Mexico","Production",27076653,29435898,30433386.79,28981979.2633333
"Africa_East","America_North","Area harvested",557211,319947,372832,416663.333333333
"Africa_East","America_North","Gross Production Value (current million US$)",183.47,181.44,92.03,152.313333333333
"Africa_East","America_North","Production",772293,631211,709440,704314.666666667
"Africa_East","America_South_andean","Area harvested",3073612,2814850,3366888.96,3085116.98666667
"Africa_East","America_South_andean","Gross Production Value (current million US$)",3771.26,5556.52,2661.2,3996.32666666667
"Africa_East","America_South_andean","Production",8074773,8881285,9128036.52,8694698.17333333
"Africa_East","America_South_temperate","Area harvested",36,35,35,35.3333333333333
"Africa_East","America_South_temperate","Gross Production Value (current million US$)",0.58,0.49,0.42,0.496666666666667
"Africa_East","America_South_temperate","Production",245,230,235,236.666666666667
"Africa_East","America_South_tropical","Area harvested",4178372,4280842,4878554.79,4445922.93
"Africa_East","America_South_tropical","Gross Production Value (current million US$)",7235.93,13240.24,2117.55,7531.24
"Africa_East","America_South_tropical","Production",18141471,18119747,18210522.49,18157246.83
"Africa_East","Asia_Central","Area harvested",3770393,3379353,3143994.15,3431246.71666667
"Africa_East","Asia_Central","Gross Production Value (current million US$)",3286.83,3235.63,1848.57,2790.34333333333
"Africa_East","Asia_Central","Production",7923791,7805410,7502192,7743797.66666667
"Africa_East","Asia_East","Area harvested",3830662.58,3507254,4083690,3807202.19333333
"Africa_East","Asia_East","Gross Production Value (current million US$)",3121.29,4913.54,1867.36,3300.73
"Africa_East","Asia_East","Production",4575978,5028850,5223374,4942734
"Africa_East","Asia_South","Area harvested",8833930,8649900,9449189.9,8977673.3
"Africa_East","Asia_South","Gross Production Value (current million US$)",10662.05,19037.93,3996.48,11232.1533333333
"Africa_East","Asia_South","Production",41860308,41458372,40716157.81,41344945.9366667
"Africa_East","Asia_Southeast","Area harvested",6270692,5978098,6567859.9,6272216.63333333
"Africa_East","Asia_Southeast","Gross Production Value (current million US$)",9075.41,16669.02,3459.81,9734.74666666667
"Africa_East","Asia_Southeast","Production",39956375,39469193,38551072.81,39325546.9366667
"Africa_East","Asia_West","Area harvested",7019682,6635685,6691283.15,6782216.71666667
"Africa_East","Asia_West","Gross Production Value (current million US$)",5027.91,6019.15,2532.32,4526.46
"Africa_East","Asia_West","Production",10621659,10776891,10688731,10695760.3333333
"Africa_East","Europe_Eastern_north","Area harvested",194737,132095,175924,167585.333333333
"Africa_East","Europe_Eastern_north","Gross Production Value (current million US$)",135.75,73.74,101.87,103.786666666667
"Africa_East","Europe_Eastern_north","Production",231889,157401,209403,199564.333333333
"Africa_East","Europe_Eastern_south","Area harvested",722378,646961,772756,714031.666666667
"Africa_East","Europe_Eastern_south","Gross Production Value (current million US$)",609.15,567.63,618.59,598.456666666667
"Africa_East","Europe_Eastern_south","Production",1900139,2221455,2180563,2100719
"Africa_East","Europe_Western_north","Area harvested",194737,132095,175924,167585.333333333
"Africa_East","Europe_Western_north","Gross Production Value (current million US$)",135.75,73.74,101.87,103.786666666667
"Africa_East","Europe_Western_north","Production",231889,157401,209403,199564.333333333
"Africa_East","Europe_Western_south","Area harvested",716584,640825,763956,707121.666666667
"Africa_East","Europe_Western_south","Gross Production Value (current million US$)",598.21,563.36,614.23,591.933333333333
"Africa_East","Europe_Western_south","Production",1871992,2206777,2162751,2080506.66666667
"Africa_East","Mediterranean_SouthandEast","Area harvested",4399967,3954300,3789001.15,4047756.05
"Africa_East","Mediterranean_SouthandEast","Gross Production Value (current million US$)",3497.13,3580.42,2181.09,3086.21333333333
"Africa_East","Mediterranean_SouthandEast","Production",8369733,8527164,8110766,8335887.66666667
"Africa_East","Not_Specified","Area harvested",4854594,5056653,5134493,5015246.66666667
"Africa_East","Not_Specified","Gross Production Value (current million US$)",1214.3,2356.16,50.43,1206.96333333333
"Africa_East","Not_Specified","Production",12252530,13069435,13462733,12928232.6666667
"Africa_East","Pacific_Region_tropical","Area harvested",106148,109247,182719,132704.666666667
"Africa_East","Pacific_Region_tropical","Gross Production Value (current million US$)",101.56,172.74,75.18,116.493333333333
"Africa_East","Pacific_Region_tropical","Production",291587,356819,418775,355727
"Africa_Indian_Ocean_Islands","Africa_Central","Area harvested",1683965,1755189,1610220,1683124.66666667
"Africa_Indian_Ocean_Islands","Africa_Central","Gross Production Value (current million US$)",1446.63,1349.54,1381.11,1392.42666666667
"Africa_Indian_Ocean_Islands","Africa_Central","Production",4637898,4852094,4401620,4630537.33333333
"Africa_Indian_Ocean_Islands","Africa_East","Area harvested",179013,179883,181846,180247.333333333
"Africa_Indian_Ocean_Islands","Africa_East","Gross Production Value (current million US$)",21.37,24.7,24.81,23.6266666666667
"Africa_Indian_Ocean_Islands","Africa_East","Production",112956,132351,120993,122100
"Africa_Indian_Ocean_Islands","Africa_Southern","Area harvested",26500,25933,25825,26086
"Africa_Indian_Ocean_Islands","Africa_Southern","Gross Production Value (current million US$)",12.51,13.23,15.13,13.6233333333333
"Africa_Indian_Ocean_Islands","Africa_Southern","Production",43854,47836,49860,47183.3333333333
"Africa_Indian_Ocean_Islands","Africa_West","Area harvested",1683965,1755189,1610220,1683124.66666667
"Africa_Indian_Ocean_Islands","Africa_West","Gross Production Value (current million US$)",1446.63,1349.54,1381.11,1392.42666666667
"Africa_Indian_Ocean_Islands","Africa_West","Production",4637898,4852094,4401620,4630537.33333333
"Africa_Indian_Ocean_Islands","America_Caribbean","Area harvested",81404,79750,79137,80097
"Africa_Indian_Ocean_Islands","America_Caribbean","Gross Production Value (current million US$)",10.14,9.95,10.98,10.3566666666667
"Africa_Indian_Ocean_Islands","America_Caribbean","Production",27930,30098,29832,29286.6666666667
"Africa_Indian_Ocean_Islands","America_Central_and_Mexico","Area harvested",1002114,1020327,1138845,1053762
"Africa_Indian_Ocean_Islands","America_Central_and_Mexico","Gross Production Value (current million US$)",997.68,972.56,1089.64,1019.96
"Africa_Indian_Ocean_Islands","America_Central_and_Mexico","Production",4797254,4818018,5524066,5046446
"Africa_Indian_Ocean_Islands","America_North","Area harvested",3950,3984,4037,3990.33333333333
"Africa_Indian_Ocean_Islands","America_North","Gross Production Value (current million US$)",13.59,14,15.67,14.42
"Africa_Indian_Ocean_Islands","America_North","Production",29920,31516,31928,31121.3333333333
"Africa_Indian_Ocean_Islands","America_South_andean","Area harvested",122520,122801,129496,124939
"Africa_Indian_Ocean_Islands","America_South_andean","Gross Production Value (current million US$)",156.11,158.17,166.11,160.13
"Africa_Indian_Ocean_Islands","America_South_andean","Production",381770,384326,388217,384771
"Africa_Indian_Ocean_Islands","America_South_temperate","Area harvested",0,0,0,0
"Africa_Indian_Ocean_Islands","America_South_temperate","Gross Production Value (current million US$)",0,0,0,0
"Africa_Indian_Ocean_Islands","America_South_temperate","Production",0,0,0,0
"Africa_Indian_Ocean_Islands","America_South_tropical","Area harvested",743295,750362,857849,783835.333333333
"Africa_Indian_Ocean_Islands","America_South_tropical","Gross Production Value (current million US$)",863.57,845.88,963.07,890.84
"Africa_Indian_Ocean_Islands","America_South_tropical","Production",4449445,4483134,5180887,4704488.66666667
"Africa_Indian_Ocean_Islands","Asia_Central","Area harvested",15141,15495,15223,15286.3333333333
"Africa_Indian_Ocean_Islands","Asia_Central","Gross Production Value (current million US$)",14.56,15.51,17.72,15.93
"Africa_Indian_Ocean_Islands","Asia_Central","Production",50240,52143,50995,51126
"Africa_Indian_Ocean_Islands","Asia_East","Area harvested",1577160,1645934,1497531,1573541.66666667
"Africa_Indian_Ocean_Islands","Asia_East","Gross Production Value (current million US$)",1446.86,1347.4,1380.88,1391.71333333333
"Africa_Indian_Ocean_Islands","Asia_East","Production",4698864,4906257,4481565,4695562
"Africa_Indian_Ocean_Islands","Asia_South","Area harvested",1887225,1946477,1817728,1883810
"Africa_Indian_Ocean_Islands","Asia_South","Gross Production Value (current million US$)",4021.64,3575.18,3808.59,3801.80333333333
"Africa_Indian_Ocean_Islands","Asia_South","Production",13173527,13117180,12577845,12956184
"Africa_Indian_Ocean_Islands","Asia_Southeast","Area harvested",1904331,1965889,1891120,1920446.66666667
"Africa_Indian_Ocean_Islands","Asia_Southeast","Gross Production Value (current million US$)",4029.09,3582.04,3839.16,3816.76333333333
"Africa_Indian_Ocean_Islands","Asia_Southeast","Production",13184860,13126636,12603280,12971592
"Africa_Indian_Ocean_Islands","Asia_West","Area harvested",39263,39393,37823,38826.3333333333
"Africa_Indian_Ocean_Islands","Asia_West","Gross Production Value (current million US$)",19.58,20.46,23.08,21.04
"Africa_Indian_Ocean_Islands","Asia_West","Production",78698,80959,81090,80249
"Africa_Indian_Ocean_Islands","Europe_Eastern_north","Area harvested",5009,4713,4787,4836.33333333333
"Africa_Indian_Ocean_Islands","Europe_Eastern_north","Gross Production Value (current million US$)",1.53,1.5,1.66,1.56333333333333
"Africa_Indian_Ocean_Islands","Europe_Eastern_north","Production",7782,7811,7647,7746.66666666667
"Africa_Indian_Ocean_Islands","Europe_Eastern_south","Area harvested",27197,26909,25315,26473.6666666667
"Africa_Indian_Ocean_Islands","Europe_Eastern_south","Gross Production Value (current million US$)",13.03,13.45,13.9,13.46
"Africa_Indian_Ocean_Islands","Europe_Eastern_south","Production",67388,71541,70509,69812.6666666667
"Africa_Indian_Ocean_Islands","Europe_Western_north","Area harvested",5009,4713,4787,4836.33333333333
"Africa_Indian_Ocean_Islands","Europe_Western_north","Gross Production Value (current million US$)",1.53,1.5,1.66,1.56333333333333
"Africa_Indian_Ocean_Islands","Europe_Western_north","Production",7782,7811,7647,7746.66666666667
"Africa_Indian_Ocean_Islands","Europe_Western_south","Area harvested",25686,25497,23870,25017.6666666667
"Africa_Indian_Ocean_Islands","Europe_Western_south","Gross Production Value (current million US$)",13.03,13.45,13.9,13.46
"Africa_Indian_Ocean_Islands","Europe_Western_south","Production",63764,68149,66970,66294.3333333333
"Africa_Indian_Ocean_Islands","Mediterranean_SouthandEast","Area harvested",36860,36972,34981,36271
"Africa_Indian_Ocean_Islands","Mediterranean_SouthandEast","Gross Production Value (current million US$)",19.65,19.96,20.82,20.1433333333333
"Africa_Indian_Ocean_Islands","Mediterranean_SouthandEast","Production",84672,90047,86569,87096
"Africa_Indian_Ocean_Islands","Not_Specified","Area harvested",110264,103085,103647,105665.333333333
"Africa_Indian_Ocean_Islands","Not_Specified","Gross Production Value (current million US$)",0,0,0,0
"Africa_Indian_Ocean_Islands","Not_Specified","Production",534437,571456,618940,574944.333333333
"Africa_Indian_Ocean_Islands","Pacific_Region_tropical","Area harvested",71459,71005,69921,70795
"Africa_Indian_Ocean_Islands","Pacific_Region_tropical","Gross Production Value (current million US$)",0.9,0.88,1.06,0.946666666666667
"Africa_Indian_Ocean_Islands","Pacific_Region_tropical","Production",318019,322610,302708,314445.666666667
"Africa_Southern","Africa_Central","Area harvested",4200827,4220330,4482051,4301069.33333333
"Africa_Southern","Africa_Central","Gross Production Value (current million US$)",690.34,818.05,825.32,777.903333333333
"Africa_Southern","Africa_Central","Production",4156518,5498493,5238337,4964449.33333333
"Africa_Southern","Africa_East","Area harvested",6488013,5645699,6411691,6181801
"Africa_Southern","Africa_East","Gross Production Value (current million US$)",848.52,1005.31,1032.69,962.173333333333
"Africa_Southern","Africa_East","Production",4421688,4121478,4748865,4430677
"Africa_Southern","Africa_Southern","Area harvested",5526848,4592384,5081645,5066959
"Africa_Southern","Africa_Southern","Gross Production Value (current million US$)",840.1,994.8,988.36,941.086666666667
"Africa_Southern","Africa_Southern","Production",4260741,3922699,4211373,4131604.33333333
"Africa_Southern","Africa_West","Area harvested",5511738,5493374,5719989,5575033.66666667
"Africa_Southern","Africa_West","Gross Production Value (current million US$)",898.35,1102.99,1055.89,1019.07666666667
"Africa_Southern","Africa_West","Production",4738930,6161031,5877340,5592433.66666667
"Africa_Southern","America_Caribbean","Area harvested",1471817,879799,1030356,1127324
"Africa_Southern","America_Caribbean","Gross Production Value (current million US$)",84.19,38.24,86.22,69.55
"Africa_Southern","America_Caribbean","Production",1582906,1134005,1405987,1374299.33333333
"Africa_Southern","America_Central_and_Mexico","Area harvested",21477510,21942916,22331096,21917174
"Africa_Southern","America_Central_and_Mexico","Gross Production Value (current million US$)",9800.95,18281.11,15131.97,14404.6766666667
"Africa_Southern","America_Central_and_Mexico","Production",62159450,70983779,71502075,68215101.3333333
"Africa_Southern","America_North","Area harvested",1333718,1108066,1690282,1377355.33333333
"Africa_Southern","America_North","Gross Production Value (current million US$)",2586.53,2997.6,3342.94,2975.69
"Africa_Southern","America_North","Production",3178514,2896472,3714999,3263328.33333333
"Africa_Southern","America_South_andean","Area harvested",3114027,3703097,3359454,3392192.66666667
"Africa_Southern","America_South_andean","Gross Production Value (current million US$)",1438.55,2288.49,1725.03,1817.35666666667
"Africa_Southern","America_South_andean","Production",9781760,11131200,11158574,10690511.3333333
"Africa_Southern","America_South_temperate","Area harvested",603,597,641,613.666666666667
"Africa_Southern","America_South_temperate","Gross Production Value (current million US$)",9.54,10.8,12.2,10.8466666666667
"Africa_Southern","America_South_temperate","Production",6240,5619,6161,6006.66666666667
"Africa_Southern","America_South_tropical","Area harvested",8151644,7819573,8416025,8129080.66666667
"Africa_Southern","America_South_tropical","Gross Production Value (current million US$)",4658.06,11287.6,7841.74,7929.13333333333
"Africa_Southern","America_South_tropical","Production",37728193,42601192,45429703,41919696
"Africa_Southern","Asia_Central","Area harvested",1301451,1116749,1244573,1220924.33333333
"Africa_Southern","Asia_Central","Gross Production Value (current million US$)",1103.22,1229.71,1621.85,1318.26
"Africa_Southern","Asia_Central","Production",9570957,9070491,10062181,9567876.33333333
"Africa_Southern","Asia_East","Area harvested",3264450,3630157,3724256,3539621
"Africa_Southern","Asia_East","Gross Production Value (current million US$)",4308.85,5301.43,5809.66,5139.98
"Africa_Southern","Asia_East","Production",9135502,10607812,10578827,10107380.3333333
"Africa_Southern","Asia_South","Area harvested",5789276,6155359,6776473,6240369.33333333
"Africa_Southern","Asia_South","Gross Production Value (current million US$)",2813.68,3449.98,3356.35,3206.67
"Africa_Southern","Asia_South","Production",48490613,49021489,51677619,49729907
"Africa_Southern","Asia_Southeast","Area harvested",4887583,5065654,5170566,5041267.66666667
"Africa_Southern","Asia_Southeast","Gross Production Value (current million US$)",2790.45,3444.81,3231.62,3155.62666666667
"Africa_Southern","Asia_Southeast","Production",48542781,48867145,51083786,49497904
"Africa_Southern","Asia_West","Area harvested",2229276,2204619,2762180,2398691.66666667
"Africa_Southern","Asia_West","Gross Production Value (current million US$)",3326.81,3939.95,4445.36,3904.04
"Africa_Southern","Asia_West","Production",11335035,11098865,12260387,11564762.3333333
"Africa_Southern","Europe_Eastern_north","Area harvested",52290,54517,61452,56086.3333333333
"Africa_Southern","Europe_Eastern_north","Gross Production Value (current million US$)",367.97,405.91,490.76,421.546666666667
"Africa_Southern","Europe_Eastern_north","Production",915173,829840,912753,885922
"Africa_Southern","Europe_Eastern_south","Area harvested",302687,367771,399853,356770.333333333
"Africa_Southern","Europe_Eastern_south","Gross Production Value (current million US$)",687.73,786.24,879.97,784.646666666667
"Africa_Southern","Europe_Eastern_south","Production",1893664,1887290,1957466,1912806.66666667
"Africa_Southern","Europe_Western_north","Area harvested",52290,54517,61452,56086.3333333333
"Africa_Southern","Europe_Western_north","Gross Production Value (current million US$)",367.97,405.91,490.76,421.546666666667
"Africa_Southern","Europe_Western_north","Production",915173,829840,912753,885922
"Africa_Southern","Europe_Western_south","Area harvested",260354,325779,356239,314124
"Africa_Southern","Europe_Western_south","Gross Production Value (current million US$)",471.22,527.28,599.43,532.643333333333
"Africa_Southern","Europe_Western_south","Production",1480090,1444021,1529662,1484591
"Africa_Southern","Mediterranean_SouthandEast","Area harvested",1685948,1586139,1784662,1685583
"Africa_Southern","Mediterranean_SouthandEast","Gross Production Value (current million US$)",2870.57,3449.62,3817.33,3379.17333333333
"Africa_Southern","Mediterranean_SouthandEast","Production",5201025,4731635,5570115,5167591.66666667
"Africa_Southern","Not_Specified","Area harvested",1582013,1658536,1705523,1648690.66666667
"Africa_Southern","Not_Specified","Gross Production Value (current million US$)",241.45,450.45,426.41,372.77
"Africa_Southern","Not_Specified","Production",4998943,5394614,5845716,5413091
"Africa_Southern","Pacific_Region_tropical","Area harvested",763610,744902,755702,754738
"Africa_Southern","Pacific_Region_tropical","Gross Production Value (current million US$)",210.1,193.08,192.79,198.656666666667
"Africa_Southern","Pacific_Region_tropical","Production",867909,872640,835320,858623
"Africa_West","Africa_Central","Area harvested",31159493,35316618,33969119,33481743.3333333
"Africa_West","Africa_Central","Gross Production Value (current million US$)",30673.35,36158.36,36805.3,34545.67
"Africa_West","Africa_Central","Production",44303059.01,50443448.09,46056431,46934312.7
"Africa_West","Africa_East","Area harvested",40139050,45276448.09,41881293,42432263.6966667
"Africa_West","Africa_East","Gross Production Value (current million US$)",14900.67,19869.56,15858.79,16876.34
"Africa_West","Africa_East","Production",31049929.87,38282707.05,29071968,32801534.9733333
"Africa_West","Africa_Southern","Area harvested",38164055,43400197.52,40276753,40613668.5066667
"Africa_West","Africa_Southern","Gross Production Value (current million US$)",14644.13,19491.58,15531.38,16555.6966666667
"Africa_West","Africa_Southern","Production",30663694.87,37726190.02,28551234,32313706.2966667
"Africa_West","Africa_West","Area harvested",52403525,58105863.21,55041495,55183627.7366667
"Africa_West","Africa_West","Gross Production Value (current million US$)",61512.69,75289.89,79311.97,72038.1833333333
"Africa_West","Africa_West","Production",101160765.01,114810747.07,108197663,108056391.693333
"Africa_West","America_Caribbean","Area harvested",1689450,1939792.56,2145682,1924974.85333333
"Africa_West","America_Caribbean","Gross Production Value (current million US$)",3377.95,2826.89,2967.29,3057.37666666667
"Africa_West","America_Caribbean","Production",3678387.07,3970657.78,4120963,3923335.95
"Africa_West","America_Central_and_Mexico","Area harvested",27511866,29277684.56,32118731,29636093.8533333
"Africa_West","America_Central_and_Mexico","Gross Production Value (current million US$)",48822.02,53815.04,65303.56,55980.2066666667
"Africa_West","America_Central_and_Mexico","Production",108333409.58,115491732.56,128539899,117455013.713333
"Africa_West","America_North","Area harvested",14916,14365,14796,14692.3333333333
"Africa_West","America_North","Gross Production Value (current million US$)",25.77,25.21,28.66,26.5466666666667
"Africa_West","America_North","Production",73072,73356,76969,74465.6666666667
"Africa_West","America_South_andean","Area harvested",1219075,1201545,1171560,1197393.33333333
"Africa_West","America_South_andean","Gross Production Value (current million US$)",3013.58,3407.58,3560.94,3327.36666666667
"Africa_West","America_South_andean","Production",4204686,4364906,4134082,4234558
"Africa_West","America_South_temperate","Area harvested",0,0,0,0
"Africa_West","America_South_temperate","Gross Production Value (current million US$)",0,0,0,0
"Africa_West","America_South_temperate","Production",0,0,0,0
"Africa_West","America_South_tropical","Area harvested",31881297,32879310.61,32909704,32556770.5366667
"Africa_West","America_South_tropical","Gross Production Value (current million US$)",69452.14,81734.45,97050.71,82745.7666666667
"Africa_West","America_South_tropical","Production",145264885.16,159357508.02,172848257,159156883.393333
"Africa_West","Asia_Central","Area harvested",283386,328374,397558,336439.333333333
"Africa_West","Asia_Central","Gross Production Value (current million US$)",1306.7,1584.64,1686.41,1525.91666666667
"Africa_West","Asia_Central","Production",2652445.55,2774246.67,2781042,2735911.40666667
"Africa_West","Asia_East","Area harvested",22308960,24016698.27,23178182,23167946.7566667
"Africa_West","Asia_East","Gross Production Value (current million US$)",10796.18,13369.71,11250.46,11805.45
"Africa_West","Asia_East","Production",24793001.91,28829119.99,22540881,25387667.6333333
"Africa_West","Asia_South","Area harvested",30035599,32449370.78,31254182,31246383.9266667
"Africa_West","Asia_South","Gross Production Value (current million US$)",41262.83,51827.62,56145.2,49745.2166666667
"Africa_West","Asia_South","Production",91538900.13,101607376.52,99127744,97424673.55
"Africa_West","Asia_Southeast","Area harvested",29209169,31530853.21,30336780,30358934.07
"Africa_West","Asia_Southeast","Gross Production Value (current million US$)",40613.63,51069.39,55357.03,49013.35
"Africa_West","Asia_Southeast","Production",90909918.13,100891996.99,98435453,96745789.3733333
"Africa_West","Asia_West","Area harvested",1617481,1739950.57,1808551,1721994.19
"Africa_West","Asia_West","Gross Production Value (current million US$)",2337.98,2983.58,3180.91,2834.15666666667
"Africa_West","Asia_West","Production",3519237.55,3835982.2,3820457,3725225.58333333
"Africa_West","Europe_Eastern_north","Area harvested",4638,4877,5260,4925
"Africa_West","Europe_Eastern_north","Gross Production Value (current million US$)",7.87,8.64,9.37,8.62666666666667
"Africa_West","Europe_Eastern_north","Production",71178,74628,74164,73323.3333333333
"Africa_West","Europe_Eastern_south","Area harvested",80876,81909,80253,81012.6666666667
"Africa_West","Europe_Eastern_south","Gross Production Value (current million US$)",125.82,132.19,169.46,142.49
"Africa_West","Europe_Eastern_south","Production",458790.55,493937.67,518314,490347.406666667
"Africa_West","Europe_Western_north","Area harvested",4638,4877,5260,4925
