"Region_crops","Region","Element","Average"
"Africa_East","Mediterranean_SouthandEast","Area harvested",6179539.66666667
"Africa_East","Mediterranean_SouthandEast","Production",16482654.07
"Africa_East","Mediterranean_SouthandEast","Gross Production Value (current million US$)",10228.9533333333
"Africa_East","Pacific_Region_ausnz","Area harvested",1348826.33333333
"Africa_East","Pacific_Region_ausnz","Production",4790072.33333333
"Africa_East","Pacific_Region_ausnz","Gross Production Value (current million US$)",3441.60666666667
"Africa_East","Pacific_Region_tropical","Area harvested",428.333333333333
"Africa_East","Pacific_Region_tropical","Production",1369.33333333333
"Africa_East","Pacific_Region_tropical","Gross Production Value (current million US$)",0.0633333333333333
"Africa_Southern","Africa_Central","Area harvested",2012808.33333333
"Africa_Southern","Africa_Central","Production",2195648.66666667
"Africa_Southern","Africa_Central","Gross Production Value (current million US$)",497.596666666667
"Africa_Southern","Africa_East","Area harvested",13212398.76
"Africa_Southern","Africa_East","Production",11234008
"Africa_Southern","Africa_East","Gross Production Value (current million US$)",3798.87
"Africa_Southern","Africa_Indian_Ocean_Islands","Area harvested",26086
"Africa_Southern","Africa_Indian_Ocean_Islands","Production",47183.3333333333
"Africa_Southern","Africa_Indian_Ocean_Islands","Gross Production Value (current million US$)",13.6233333333333
"Africa_Southern","Africa_Southern","Area harvested",5066959
"Africa_Southern","Africa_Southern","Production",4131604.33333333
"Africa_Southern","Africa_Southern","Gross Production Value (current million US$)",941.086666666667
"Africa_Southern","Africa_West","Area harvested",40613668.5066667
"Africa_Southern","Africa_West","Production",32313706.2966667
"Africa_Southern","Africa_West","Gross Production Value (current million US$)",16555.6966666667
"Africa_Southern","America_Caribbean","Area harvested",277602.67
"Africa_Southern","America_Caribbean","Production",767232.79
"Africa_Southern","America_Caribbean","Gross Production Value (current million US$)",75.6233333333333
"Africa_Southern","America_Central_and_Mexico","Area harvested",2432382.51666667
"Africa_Southern","America_Central_and_Mexico","Production",15592886.4533333
"Africa_Southern","America_Central_and_Mexico","Gross Production Value (current million US$)",2504.49333333333
"Africa_Southern","America_North","Area harvested",6033784.33333333
"Africa_Southern","America_North","Production",27544025
"Africa_Southern","America_North","Gross Production Value (current million US$)",3963.31666666667
"Africa_Southern","America_South_andean","Area harvested",416367.706666667
"Africa_Southern","America_South_andean","Production",1837682.02
"Africa_Southern","America_South_andean","Gross Production Value (current million US$)",412.316666666667
"Africa_Southern","America_South_temperate","Area harvested",1880574.3
"Africa_Southern","America_South_temperate","Production",16694799.3333333
"Africa_Southern","America_South_temperate","Gross Production Value (current million US$)",1067.49
"Africa_Southern","America_South_tropical","Area harvested",2599785.40666667
"Africa_Southern","America_South_tropical","Production",12989796.02
"Africa_Southern","America_South_tropical","Gross Production Value (current million US$)",4184.17666666667
"Africa_Southern","Asia_Central","Area harvested",2522371.43333333
"Africa_Southern","Asia_Central","Production",11401770.7
"Africa_Southern","Asia_Central","Gross Production Value (current million US$)",811.51
"Africa_Southern","Asia_East","Area harvested",9201167.33333333
"Africa_Southern","Asia_East","Production",128399892.666667
"Africa_Southern","Asia_East","Gross Production Value (current million US$)",79252.1
"Africa_Southern","Asia_South","Area harvested",30874995.3333333
"Africa_Southern","Asia_South","Production",52602021.9633333
"Africa_Southern","Asia_South","Gross Production Value (current million US$)",16720.97
"Africa_Southern","Asia_Southeast","Area harvested",1170276.75666667
"Africa_Southern","Asia_Southeast","Production",4262732.67666667
"Africa_Southern","Asia_Southeast","Gross Production Value (current million US$)",896.27
"Africa_Southern","Asia_West","Area harvested",6126007.83333333
"Africa_Southern","Asia_West","Production",34381856.8033333
"Africa_Southern","Asia_West","Gross Production Value (current million US$)",10144.7733333333
"Africa_Southern","Europe_Eastern_north","Area harvested",941693
"Africa_Southern","Europe_Eastern_north","Production",5846922.66666667
"Africa_Southern","Europe_Eastern_north","Gross Production Value (current million US$)",679.943333333333
"Africa_Southern","Europe_Eastern_south","Area harvested",1107656.33333333
"Africa_Southern","Europe_Eastern_south","Production",12385146.6666667
"Africa_Southern","Europe_Eastern_south","Gross Production Value (current million US$)",6500.66
"Africa_Southern","Europe_Western_north","Area harvested",101703.333333333
"Africa_Southern","Europe_Western_north","Production",1311269.59
"Africa_Southern","Europe_Western_north","Gross Production Value (current million US$)",209.066666666667
"Africa_Southern","Europe_Western_south","Area harvested",348896.333333333
"Africa_Southern","Europe_Western_south","Production",6095394.63333333
"Africa_Southern","Europe_Western_south","Gross Production Value (current million US$)",2035.69333333333
"Africa_Southern","Mediterranean_SouthandEast","Area harvested",1662248.33333333
"Africa_Southern","Mediterranean_SouthandEast","Production",20479964.9966667
"Africa_Southern","Mediterranean_SouthandEast","Gross Production Value (current million US$)",8459.72333333333
"Africa_Southern","Pacific_Region_ausnz","Area harvested",1020172.66666667
"Africa_Southern","Pacific_Region_ausnz","Production",4652403.33333333
"Africa_Southern","Pacific_Region_ausnz","Gross Production Value (current million US$)",3408.92
"Africa_Southern","Pacific_Region_tropical","Area harvested",768.333333333333
"Africa_Southern","Pacific_Region_tropical","Production",6810
"Africa_Southern","Pacific_Region_tropical","Gross Production Value (current million US$)",0.456666666666667
"Africa_West","Africa_Central","Area harvested",2446580.66666667
"Africa_West","Africa_Central","Production",6155641
"Africa_West","Africa_Central","Gross Production Value (current million US$)",1155.59666666667
"Africa_West","Africa_East","Area harvested",14090554.06
"Africa_West","Africa_East","Production",11694336.0333333
"Africa_West","Africa_East","Gross Production Value (current million US$)",4545.94
"Africa_West","Africa_Indian_Ocean_Islands","Area harvested",1683124.66666667
"Africa_West","Africa_Indian_Ocean_Islands","Production",4630537.33333333
"Africa_West","Africa_Indian_Ocean_Islands","Gross Production Value (current million US$)",1392.42666666667
"Africa_West","Africa_Southern","Area harvested",5575033.66666667
"Africa_West","Africa_Southern","Production",5592433.66666667
"Africa_West","Africa_Southern","Gross Production Value (current million US$)",1019.07666666667
"Africa_West","Africa_West","Area harvested",55183627.7366667
"Africa_West","Africa_West","Production",108056391.693333
"Africa_West","Africa_West","Gross Production Value (current million US$)",72038.1833333333
"Africa_West","America_Caribbean","Area harvested",1044685.27
"Africa_West","America_Caribbean","Production",2961724.77333333
"Africa_West","America_Caribbean","Gross Production Value (current million US$)",1246.95333333333
"Africa_West","America_Central_and_Mexico","Area harvested",4447288.83
"Africa_West","America_Central_and_Mexico","Production",20633951.42
